stoptime,end station id
18.0,19
3333.0,89
3257.0,73
3538.0,95
3517.0,55
341.0,76
260.0,33
3287.0,76
660.0,68
3328.0,68
787.0,86
2833.0,23
2841.0,23
781.0,39
809.0,39
846.0,65
723.0,16
1139.0,86
1831.0,86
1440.0,25
1157.0,40
814.0,106
1486.0,75
1500.0,52
620.0,113
583.0,113
1587.0,121
1655.0,97
2115.0,115
881.0,74
884.0,74
3176.0,104
7013.0,139
6836.0,69
6670.0,26
6674.0,26
6615.0,26
7189.0,120
6991.0,36
7006.0,36
6963.0,36
3777.0,68
3786.0,68
4189.0,120
4231.0,8
4640.0,41
5609.0,19
6981.0,126
5477.0,130
10596.0,69
10564.0,59
10256.0,59
10067.0,88
7502.0,105
7667.0,74
8435.0,74
8025.0,4
8012.0,73
8249.0,9
8020.0,130
8857.0,31
8849.0,89
9394.0,151
9918.0,14
14103.0,76
11301.0,125
15374.0,81
16602.0,133
16656.0,73
17294.0,22
20629.0,107
21559.0,96
18576.0,58
18300.0,67
18770.0,15
18982.0,30
19032.0,16
19563.0,47
19635.0,152
19528.0,58
19405.0,74
19447.0,54
19310.0,13
20056.0,13
19998.0,84
19627.0,9
20068.0,75
19752.0,21
20220.0,21
20269.0,5
20118.0,60
20095.0,24
20682.0,11
19951.0,14
20283.0,63
20478.0,13
20507.0,11
20869.0,22
20153.0,150
20785.0,35
21066.0,142
21023.0,150
20841.0,11
21126.0,48
20602.0,136
24958.0,40
25185.0,22
24519.0,116
24839.0,48
25059.0,150
21871.0,16
21737.0,49
21751.0,11
25141.0,100
22053.0,115
21764.0,66
21797.0,46
21712.0,13
21919.0,14
21918.0,71
22438.0,71
25085.0,140
22017.0,67
22660.0,39
21990.0,14
22677.0,40
22642.0,13
22849.0,16
22706.0,11
22447.0,24
23018.0,23
22887.0,151
22575.0,67
22687.0,42
23082.0,11
22811.0,22
21964.0,30
22696.0,69
23239.0,100
22817.0,48
22925.0,30
23391.0,35
23391.0,81
23257.0,35
23307.0,22
23421.0,35
23031.0,74
23651.0,16
23014.0,72
23516.0,48
23423.0,22
23765.0,36
22357.0,103
23441.0,50
23514.0,22
23778.0,63
23465.0,21
23066.0,61
23231.0,84
23226.0,7
23482.0,48
23452.0,6
24006.0,25
23582.0,70
23561.0,61
23984.0,50
23913.0,109
24140.0,22
23424.0,10
24028.0,48
24140.0,48
23615.0,23
24074.0,13
24289.0,100
23813.0,31
24234.0,50
23915.0,11
23994.0,135
24167.0,109
24354.0,22
24436.0,96
24302.0,56
24127.0,74
23669.0,35
24019.0,102
24533.0,120
24624.0,100
24505.0,14
24226.0,41
24065.0,91
24604.0,133
24530.0,43
24502.0,100
24086.0,91
24049.0,117
24254.0,85
24384.0,13
24133.0,73
24071.0,58
24298.0,35
24545.0,11
24110.0,11
24447.0,48
24584.0,150
24633.0,7
24352.0,72
24000.0,142
23472.0,50
23321.0,67
23989.0,23
24895.0,100
24776.0,35
24475.0,117
24741.0,43
23708.0,139
23784.0,25
23607.0,70
28579.0,20
27927.0,9
28671.0,151
28288.0,48
28139.0,41
28485.0,64
28598.0,48
28079.0,113
28494.0,31
27426.0,129
25204.0,107
27929.0,48
28117.0,133
25218.0,151
28462.0,7
27931.0,49
25351.0,48
28661.0,48
28639.0,13
27757.0,11
28723.0,22
28403.0,22
28353.0,23
25445.0,90
28463.0,67
28669.0,91
28779.0,64
25206.0,24
28729.0,7
28725.0,35
25586.0,49
28273.0,43
25605.0,17
28132.0,4
25280.0,135
25441.0,91
25531.0,125
28628.0,76
28734.0,143
25570.0,22
28617.0,138
28796.0,36
25812.0,100
25647.0,21
28308.0,109
28390.0,71
25989.0,42
25863.0,31
25442.0,97
25624.0,50
25599.0,40
28690.0,60
25458.0,90
25840.0,67
28741.0,91
28721.0,35
28262.0,60
26061.0,16
28750.0,107
25809.0,48
25796.0,52
26048.0,64
25730.0,64
25977.0,30
26124.0,43
26052.0,43
26131.0,100
25905.0,35
26155.0,16
26088.0,120
25487.0,17
25887.0,131
26180.0,100
25710.0,122
25420.0,22
26296.0,76
25853.0,113
28489.0,23
25826.0,60
26176.0,149
26300.0,21
26132.0,84
25624.0,91
26399.0,42
26197.0,50
25909.0,60
25559.0,110
25685.0,7
26352.0,23
26540.0,22
25650.0,58
26147.0,60
26411.0,81
26171.0,89
26245.0,80
26549.0,11
25487.0,141
26279.0,22
26292.0,14
26778.0,48
26649.0,21
26380.0,90
26331.0,22
26667.0,26
26629.0,48
26828.0,29
26748.0,151
26259.0,50
26734.0,100
26673.0,151
26696.0,64
26442.0,80
25595.0,35
26233.0,117
26605.0,64
26857.0,65
25564.0,81
25344.0,42
26875.0,43
26820.0,24
26645.0,135
26757.0,22
26952.0,36
26142.0,13
26625.0,6
26571.0,91
26728.0,67
25786.0,60
26837.0,70
26941.0,135
26775.0,36
26940.0,50
26933.0,143
26660.0,52
26740.0,48
26644.0,11
27226.0,100
26574.0,22
26916.0,11
26979.0,35
26902.0,97
26623.0,35
26765.0,35
27104.0,45
26591.0,85
27044.0,90
27128.0,46
26439.0,11
25840.0,13
27107.0,91
26392.0,5
27227.0,11
26362.0,3
27029.0,38
27314.0,17
26553.0,35
27038.0,74
27169.0,80
27033.0,22
26541.0,104
26307.0,39
27083.0,48
27389.0,49
26304.0,89
26949.0,22
26576.0,48
26839.0,72
27099.0,152
27044.0,136
27245.0,13
26987.0,14
26889.0,117
27355.0,68
26752.0,141
27115.0,14
27297.0,59
26357.0,65
27329.0,81
27423.0,95
27559.0,151
27249.0,107
26414.0,94
27342.0,81
27157.0,68
27411.0,72
27011.0,35
27542.0,64
26611.0,50
26840.0,72
27010.0,117
27608.0,23
26203.0,107
27414.0,33
27626.0,36
27614.0,48
27102.0,70
27274.0,72
27693.0,109
27712.0,20
27430.0,42
27609.0,109
27156.0,5
27376.0,42
27137.0,107
27670.0,74
27542.0,48
27000.0,37
27564.0,72
27884.0,68
27283.0,151
