stoptime,end station id
3002.0,60
2463.0,21
165.0,88
3228.0,75
2600.0,69
3070.0,75
2998.0,90
2811.0,69
41.0,81
306.0,107
932.0,71
490.0,45
1112.0,79
1204.0,142
1163.0,111
1506.0,33
787.0,141
1875.0,19
1875.0,19
1696.0,143
1190.0,52
1486.0,30
1475.0,30
1438.0,30
2006.0,41
603.0,55
2084.0,41
2833.0,14
1195.0,73
2569.0,95
94.0,65
113.0,65
2465.0,116
5640.0,85
6236.0,36
5672.0,85
5581.0,85
5567.0,85
6981.0,75
3713.0,134
6541.0,68
6615.0,47
6721.0,19
3859.0,98
7182.0,19
3870.0,6
4272.0,61
6814.0,47
3851.0,25
4261.0,23
4265.0,23
4533.0,139
4403.0,55
4682.0,17
3915.0,55
5045.0,75
4725.0,27
4331.0,121
5152.0,33
4559.0,86
4458.0,86
4458.0,86
5497.0,42
4257.0,21
4752.0,21
5496.0,42
4410.0,21
4948.0,50
6880.0,50
6743.0,50
6535.0,50
5444.0,42
5438.0,42
7042.0,50
4871.0,46
4862.0,46
5945.0,21
6038.0,21
5885.0,6
5896.0,6
5749.0,95
5720.0,52
6217.0,59
6865.0,68
5813.0,114
9877.0,41
9905.0,76
10584.0,30
10451.0,109
7460.0,152
10264.0,131
7869.0,21
7901.0,21
7897.0,21
7869.0,21
10635.0,49
8358.0,110
9890.0,104
9873.0,104
8323.0,4
8419.0,52
8847.0,16
8864.0,16
8799.0,31
8724.0,31
8606.0,104
11134.0,95
12578.0,66
12751.0,4
12294.0,58
21577.0,54
21386.0,67
18806.0,13
20032.0,11
19715.0,75
24570.0,11
25183.0,11
22554.0,11
22641.0,42
22641.0,42
23566.0,22
23428.0,30
23310.0,85
23921.0,60
23622.0,30
24114.0,23
23515.0,75
24189.0,43
24575.0,14
28616.0,125
28695.0,48
25393.0,30
25471.0,49
25665.0,11
26546.0,22
26416.0,54
26638.0,5
26252.0,150
26797.0,11
25847.0,118
26808.0,61
26652.0,22
27031.0,72
27098.0,22
26969.0,41
27183.0,121
28243.0,47
27737.0,16
27680.0,91
27461.0,45
27269.0,73
27249.0,38
27386.0,9
28309.0,13
27896.0,138
28348.0,108
28263.0,125
28436.0,21
28459.0,16
27426.0,60
31010.0,45
32039.0,74
31487.0,13
31061.0,67
31608.0,73
32273.0,91
31687.0,5
32262.0,98
28839.0,68
31967.0,54
31324.0,6
29041.0,75
29035.0,75
29190.0,149
29191.0,149
29157.0,95
31674.0,19
29126.0,93
32296.0,6
29366.0,21
29283.0,107
32316.0,109
28980.0,16
29392.0,81
32361.0,98
29383.0,50
29643.0,40
29645.0,9
29768.0,11
29980.0,128
29981.0,80
30099.0,80
29218.0,116
32126.0,98
29426.0,114
29921.0,89
32090.0,98
29784.0,109
29559.0,6
29790.0,10
29999.0,35
29740.0,46
29640.0,80
30235.0,11
32349.0,22
30179.0,107
29927.0,33
29841.0,42
30812.0,81
30827.0,113
30732.0,42
30428.0,45
30891.0,87
30659.0,135
30637.0,107
29065.0,46
30399.0,10
31091.0,16
31225.0,16
31206.0,23
31464.0,5
30843.0,84
30562.0,89
31431.0,39
30793.0,12
31272.0,49
31140.0,110
30518.0,38
31925.0,29
31029.0,45
30998.0,45
31644.0,105
32012.0,152
31993.0,68
34939.0,135
35264.0,45
35511.0,11
35563.0,86
33500.0,38
33523.0,38
35428.0,78
33492.0,38
35948.0,87
32825.0,102
35065.0,91
35844.0,61
34293.0,10
35234.0,78
34304.0,10
32791.0,100
32639.0,67
35633.0,85
32672.0,149
32728.0,107
32771.0,97
33005.0,64
32956.0,42
32849.0,67
33910.0,104
33090.0,42
33169.0,46
33069.0,10
33210.0,67
32707.0,61
32726.0,67
32955.0,71
32995.0,80
33135.0,54
33771.0,6
33131.0,54
33358.0,105
33243.0,108
33462.0,74
32654.0,14
33505.0,5
32862.0,58
32766.0,40
32773.0,40
32694.0,40
32993.0,41
33478.0,108
32526.0,65
33431.0,45
33485.0,80
33367.0,115
33778.0,4
33225.0,60
33188.0,10
33944.0,40
33830.0,108
34121.0,100
33894.0,98
33563.0,33
33002.0,26
33299.0,20
33026.0,26
34239.0,100
33878.0,47
33889.0,33
33629.0,117
33883.0,26
33042.0,12
33709.0,108
34095.0,110
33428.0,75
34203.0,45
33904.0,67
34110.0,110
34310.0,45
33123.0,74
34111.0,67
34345.0,8
33974.0,108
33879.0,20
33577.0,133
34094.0,4
33891.0,20
34398.0,61
34462.0,71
34631.0,22
34063.0,24
33718.0,126
34325.0,80
33732.0,126
34281.0,91
34003.0,58
34219.0,91
34282.0,91
34323.0,143
33398.0,36
32795.0,4
34534.0,105
34594.0,54
34424.0,117
34581.0,89
34671.0,91
34006.0,84
34826.0,45
34649.0,115
34987.0,105
34729.0,21
33901.0,6
33898.0,6
34869.0,39
34903.0,17
35044.0,11
35028.0,68
35113.0,107
33279.0,58
35288.0,107
33093.0,58
35334.0,110
34843.0,19
34453.0,10
35104.0,108
35121.0,23
35146.0,23
35036.0,115
35081.0,141
35520.0,79
35616.0,119
34050.0,124
34075.0,124
34680.0,14
34863.0,42
34793.0,42
35440.0,68
35118.0,7
34843.0,42
35789.0,33
39400.0,48
39163.0,42
39159.0,42
38647.0,96
38854.0,27
39134.0,74
39094.0,11
39142.0,74
39257.0,87
38847.0,44
39284.0,110
38932.0,32
37928.0,109
37913.0,109
39365.0,115
38897.0,109
38900.0,109
36048.0,26
39514.0,88
38940.0,54
38735.0,54
37068.0,60
39414.0,67
37960.0,65
37941.0,65
37719.0,65
39484.0,74
38872.0,50
38842.0,20
37995.0,1
38948.0,19
38863.0,50
39378.0,107
37157.0,89
38892.0,10
37004.0,44
37017.0,44
36303.0,89
39228.0,4
39214.0,4
38778.0,49
39526.0,90
38776.0,49
39453.0,4
39528.0,6
39082.0,19
39590.0,80
38704.0,35
36439.0,76
39174.0,40
36278.0,51
38867.0,67
36298.0,45
36301.0,45
38604.0,84
39187.0,40
36593.0,110
36525.0,110
36754.0,43
36157.0,50
39447.0,24
39445.0,24
36559.0,60
36250.0,84
36773.0,110
39239.0,137
36296.0,109
36641.0,14
38734.0,113
37023.0,110
36262.0,109
36579.0,109
36391.0,60
36620.0,74
37014.0,21
36581.0,74
36075.0,85
36866.0,107
36481.0,43
36355.0,43
37218.0,39
38385.0,74
38337.0,74
38498.0,74
36237.0,50
37021.0,104
36570.0,116
36340.0,7
36342.0,7
36923.0,88
38770.0,67
38435.0,36
36715.0,151
37123.0,61
39008.0,60
36843.0,86
36883.0,57
38219.0,92
36499.0,65
37349.0,59
37291.0,108
37091.0,73
37216.0,15
37290.0,74
37290.0,74
37274.0,20
37523.0,26
38827.0,58
37317.0,74
36742.0,22
36744.0,22
36331.0,68
37471.0,109
37474.0,61
37469.0,61
37586.0,80
36826.0,38
36796.0,38
37089.0,109
37151.0,120
36845.0,5
36847.0,5
36780.0,5
36770.0,5
37183.0,105
36645.0,50
36673.0,50
37687.0,73
37726.0,48
37145.0,105
37869.0,91
37042.0,109
37132.0,42
37798.0,59
37601.0,80
37134.0,42
37793.0,109
37177.0,14
39192.0,74
37522.0,61
39142.0,74
36596.0,136
36696.0,136
36590.0,20
37812.0,88
37453.0,80
36580.0,20
37399.0,58
37400.0,58
37881.0,84
37611.0,109
37611.0,52
36907.0,105
37439.0,81
36798.0,60
36242.0,141
36818.0,60
37891.0,16
37844.0,108
36593.0,110
36838.0,110
36815.0,110
36598.0,110
37600.0,67
36577.0,17
36174.0,110
38094.0,95
38243.0,39
37524.0,81
37650.0,60
36538.0,70
36546.0,70
37285.0,32
37803.0,5
38144.0,67
37895.0,60
36676.0,3
37524.0,61
36771.0,3
37785.0,39
37973.0,100
38372.0,38
37752.0,39
37936.0,67
38611.0,36
38078.0,107
37918.0,65
37596.0,22
38443.0,76
37835.0,65
37854.0,65
38592.0,36
37628.0,60
38225.0,61
37688.0,5
38469.0,67
38811.0,93
36920.0,86
37987.0,73
36961.0,6
36954.0,6
37725.0,42
38705.0,107
38563.0,23
37852.0,42
38041.0,42
37949.0,42
38038.0,42
38009.0,75
37525.0,52
37936.0,3
