starttime,start station id
41.0,23
94.0,65
113.0,65
165.0,110
306.0,68
490.0,41
603.0,128
787.0,141
932.0,96
1112.0,95
1163.0,112
1190.0,74
1195.0,87
1204.0,100
1348.0,94
1438.0,61
1475.0,61
1486.0,61
1506.0,55
1696.0,107
1875.0,33
1875.0,33
1967.0,40
1981.0,40
2006.0,33
2040.0,40
2072.0,40
2084.0,45
2465.0,36
2569.0,115
2636.0,42
2833.0,32
2941.0,8
3015.0,43
3043.0,43
3121.0,47
3214.0,43
3381.0,52
3582.0,67
3713.0,61
3851.0,44
3859.0,109
3870.0,94
3915.0,110
4257.0,42
4261.0,151
4265.0,151
4272.0,134
4331.0,48
4403.0,5
4410.0,42
4458.0,32
4458.0,32
4533.0,68
4559.0,32
4682.0,149
4725.0,46
4752.0,42
4862.0,46
4871.0,46
5045.0,67
5152.0,14
5438.0,59
5444.0,59
5496.0,81
5497.0,81
5720.0,47
5749.0,36
5813.0,75
5885.0,23
5896.0,23
5945.0,21
6038.0,21
6217.0,36
6273.0,42
6277.0,21
6290.0,42
6305.0,60
6664.0,82
6851.0,4
6865.0,75
6984.0,5
7035.0,64
7460.0,16
7869.0,36
7869.0,36
7897.0,36
7901.0,36
8323.0,45
8358.0,87
8419.0,10
8606.0,42
8724.0,48
8799.0,48
8847.0,57
8864.0,57
11134.0,114
12294.0,88
12578.0,19
12751.0,40
17786.0,71
17977.0,113
18806.0,67
19715.0,75
20032.0,133
20970.0,66
21583.0,103
22554.0,69
22641.0,75
22641.0,75
23310.0,60
23428.0,82
23515.0,69
23566.0,40
23622.0,17
23921.0,16
24114.0,39
24189.0,61
24575.0,41
25016.0,123
25095.0,129
25393.0,5
25471.0,52
25665.0,45
25847.0,139
25890.0,16
26252.0,93
26416.0,42
26546.0,22
26638.0,11
26652.0,22
26797.0,86
26808.0,45
26969.0,52
27031.0,78
27098.0,121
27183.0,22
27249.0,22
27269.0,73
27386.0,131
27410.0,43
27426.0,14
27461.0,104
27461.0,60
27680.0,88
27724.0,85
27737.0,45
27887.0,82
27896.0,59
28008.0,141
28074.0,19
28087.0,126
28263.0,124
28309.0,57
28348.0,115
28367.0,21
28436.0,16
28439.0,75
28459.0,4
28490.0,19
28526.0,19
28662.0,85
28673.0,116
28696.0,99
28716.0,109
28749.0,22
28761.0,61
28839.0,139
28980.0,27
29035.0,91
29041.0,91
29065.0,46
29126.0,138
29157.0,68
29190.0,17
29191.0,17
29218.0,116
29283.0,116
29366.0,5
29383.0,51
29392.0,51
29426.0,88
29559.0,42
29640.0,94
29643.0,98
29645.0,30
29740.0,60
29768.0,33
29784.0,95
29790.0,86
29841.0,67
29892.0,46
29900.0,46
29921.0,145
29923.0,46
29927.0,58
29957.0,105
29980.0,113
29981.0,88
29999.0,13
30099.0,68
30171.0,6
30179.0,139
30235.0,69
30310.0,104
30399.0,39
30428.0,58
30518.0,102
30519.0,65
30562.0,3
30637.0,6
30659.0,47
30693.0,98
30704.0,98
30732.0,42
30741.0,65
30760.0,65
30793.0,119
30812.0,4
30827.0,130
30843.0,10
30891.0,68
30998.0,149
31029.0,149
31091.0,5
31140.0,46
31206.0,39
31225.0,39
31272.0,27
31339.0,65
31431.0,121
31464.0,21
31465.0,71
31551.0,24
31564.0,24
31634.0,149
31644.0,17
31664.0,91
31828.0,87
31911.0,66
31925.0,15
31963.0,52
31993.0,88
32012.0,59
32033.0,84
32244.0,11
32348.0,68
32409.0,21
32457.0,21
32526.0,135
32531.0,24
32589.0,24
32639.0,72
32654.0,87
32694.0,38
32707.0,41
32726.0,77
32728.0,68
32766.0,38
32771.0,105
32773.0,38
32791.0,114
32795.0,8
32849.0,91
32852.0,21
32862.0,58
32955.0,145
32956.0,61
32993.0,57
32995.0,79
33002.0,26
33005.0,31
33020.0,95
33026.0,26
33042.0,82
33069.0,41
33093.0,104
33123.0,88
33131.0,6
33135.0,6
33169.0,36
33184.0,118
33188.0,149
33210.0,91
33225.0,45
33243.0,71
33279.0,104
33299.0,129
33358.0,68
33367.0,116
33398.0,85
33404.0,40
33417.0,40
33428.0,139
33431.0,21
33462.0,87
33468.0,60
33478.0,76
33485.0,97
33505.0,30
33563.0,58
33577.0,133
33629.0,74
33709.0,66
33718.0,69
33732.0,69
33778.0,63
33830.0,71
33878.0,129
33879.0,20
33883.0,20
33889.0,66
33891.0,20
33894.0,40
33898.0,60
33901.0,60
33904.0,110
33944.0,109
33974.0,77
34003.0,10
34006.0,21
34050.0,86
34050.0,60
34063.0,119
34075.0,86
34094.0,58
34095.0,87
34110.0,68
34111.0,90
34121.0,114
34198.0,152
34203.0,5
34219.0,74
34239.0,114
34281.0,74
34282.0,74
34295.0,60
34310.0,55
34313.0,98
34323.0,85
34325.0,57
34328.0,98
34345.0,66
34398.0,45
34424.0,52
34453.0,23
34462.0,108
