stoptime,end station id
2281.0,104
3409.0,98
3453.0,69
3467.0,57
2773.0,119
2784.0,119
2740.0,55
3366.0,21
2975.0,79
3598.0,17
324.0,58
3390.0,68
3355.0,68
3024.0,78
693.0,14
741.0,47
2923.0,137
2905.0,137
2619.0,137
2611.0,137
384.0,47
752.0,116
2669.0,81
3302.0,90
3226.0,90
905.0,61
744.0,137
1027.0,9
380.0,55
1153.0,13
1146.0,13
1289.0,114
531.0,91
555.0,113
1244.0,65
1337.0,47
1337.0,47
1368.0,115
1414.0,17
1411.0,96
1700.0,87
1639.0,87
1727.0,63
1231.0,76
1963.0,32
1599.0,13
1975.0,32
1472.0,88
1832.0,26
2251.0,149
2012.0,121
1704.0,25
2077.0,31
2177.0,16
2185.0,16
2503.0,19
2601.0,27
2944.0,145
2845.0,139
2270.0,39
6071.0,13
5859.0,97
5891.0,97
6737.0,21
7039.0,52
4105.0,125
3868.0,143
6609.0,42
6769.0,42
6635.0,42
4576.0,72
4183.0,91
4408.0,49
4838.0,20
4041.0,115
4413.0,55
4889.0,96
4783.0,75
4148.0,102
4782.0,75
3697.0,74
7158.0,74
4915.0,98
4986.0,104
4505.0,74
4766.0,67
5550.0,76
5717.0,71
5797.0,87
5862.0,14
5946.0,75
5838.0,104
5585.0,142
5785.0,19
5731.0,81
6285.0,74
6117.0,61
6662.0,19
6158.0,79
6171.0,68
6198.0,67
6569.0,71
6861.0,22
9271.0,76
8943.0,36
8960.0,36
9509.0,55
9542.0,55
9432.0,114
10016.0,12
10111.0,12
10057.0,12
7307.0,16
7595.0,75
7597.0,76
7761.0,137
7819.0,39
7561.0,20
7784.0,3
7758.0,88
7808.0,3
7655.0,36
7669.0,36
7969.0,115
8400.0,47
8624.0,134
10118.0,78
9128.0,50
9121.0,50
8535.0,109
8430.0,109
8562.0,109
8518.0,59
8257.0,59
8308.0,59
9092.0,4
9130.0,109
9646.0,88
9545.0,60
9917.0,143
9669.0,143
9874.0,143
9648.0,113
9685.0,113
14033.0,17
