stoptime,end station id
2876.0,91
2393.0,52
2698.0,91
186.0,19
184.0,95
2802.0,79
3439.0,118
3311.0,4
422.0,143
521.0,149
3191.0,5
508.0,110
859.0,115
1317.0,40
466.0,69
1241.0,68
1034.0,36
2078.0,114
2378.0,68
2079.0,76
2133.0,75
2455.0,24
1950.0,60
3110.0,46
3047.0,19
3100.0,91
2975.0,23
3279.0,111
3084.0,96
7158.0,149
7050.0,81
6566.0,8
3675.0,16
6565.0,90
3771.0,51
3815.0,121
7029.0,75
5050.0,47
4438.0,17
5587.0,68
7086.0,13
5117.0,80
5027.0,76
7403.0,96
7362.0,131
10193.0,66
9826.0,14
10925.0,103
12469.0,121
12498.0,121
14655.0,137
16613.0,60
16987.0,22
21513.0,67
18718.0,48
19257.0,70
19172.0,21
18635.0,11
19121.0,30
19318.0,48
19078.0,13
19716.0,13
19863.0,84
19616.0,60
19720.0,10
19887.0,63
20371.0,150
20474.0,64
19428.0,11
20304.0,47
19877.0,10
19785.0,14
20713.0,42
20492.0,45
20738.0,134
20467.0,11
20883.0,142
20543.0,71
20669.0,48
20910.0,35
20958.0,150
21282.0,141
21186.0,11
21178.0,11
24662.0,13
24964.0,48
24748.0,59
25132.0,109
25092.0,48
24522.0,21
24876.0,46
21757.0,22
24578.0,10
22032.0,42
21616.0,47
24766.0,140
22206.0,16
25068.0,117
21762.0,50
21752.0,14
22168.0,110
22135.0,16
22307.0,49
22302.0,36
21712.0,143
22661.0,49
22185.0,47
22598.0,11
22655.0,40
22132.0,24
22975.0,100
22684.0,22
25199.0,30
22596.0,72
22968.0,133
22073.0,63
22045.0,63
23060.0,11
23170.0,55
22732.0,22
22777.0,42
22983.0,22
22682.0,42
22702.0,13
23072.0,48
22525.0,37
23290.0,81
22850.0,96
22839.0,11
23438.0,100
23067.0,60
22826.0,135
23348.0,11
22223.0,66
22650.0,91
23365.0,35
22850.0,109
23315.0,73
23327.0,14
23638.0,145
23478.0,91
23525.0,40
22673.0,109
22615.0,24
23177.0,67
22702.0,60
23345.0,84
23318.0,94
23256.0,14
23936.0,151
23943.0,20
23684.0,52
23811.0,22
23441.0,141
23781.0,48
23565.0,60
23295.0,30
23868.0,13
23665.0,7
23150.0,33
24000.0,48
23322.0,54
23318.0,67
23625.0,6
24020.0,74
22966.0,40
23856.0,11
23299.0,22
24244.0,43
24109.0,150
24312.0,50
24285.0,110
24026.0,88
24017.0,91
24329.0,55
24242.0,7
24234.0,50
24290.0,22
23880.0,115
23562.0,49
23910.0,91
24408.0,43
24005.0,81
24283.0,88
24480.0,16
24192.0,11
24223.0,60
22520.0,85
24229.0,135
24363.0,13
24342.0,31
24410.0,50
24581.0,20
24109.0,60
23942.0,7
23936.0,91
24504.0,67
24592.0,48
24640.0,43
24666.0,151
24597.0,22
23625.0,13
24517.0,107
24397.0,13
24115.0,80
24580.0,81
23809.0,7
24606.0,72
24422.0,40
24486.0,85
24579.0,80
24487.0,33
24735.0,116
24818.0,35
24815.0,150
24655.0,117
24697.0,64
24829.0,23
24898.0,100
28334.0,7
28249.0,64
27178.0,16
28766.0,75
28529.0,16
28650.0,61
28245.0,72
27756.0,142
28461.0,24
28076.0,120
28545.0,21
28593.0,48
27582.0,91
28083.0,134
28727.0,11
27731.0,129
25222.0,143
28589.0,31
25266.0,151
28570.0,134
28600.0,7
25267.0,151
28427.0,117
28614.0,80
25249.0,35
25418.0,142
28605.0,17
25256.0,22
28780.0,38
28186.0,45
28282.0,48
28164.0,5
25442.0,23
25523.0,21
28794.0,72
25311.0,64
28799.0,60
28793.0,14
25753.0,42
28659.0,72
27897.0,23
28738.0,138
28701.0,50
25214.0,91
25850.0,134
25220.0,61
25362.0,76
25244.0,14
28495.0,35
25897.0,16
25373.0,151
25829.0,21
25437.0,80
26028.0,100
25226.0,17
25644.0,72
28284.0,11
25624.0,48
25563.0,23
25262.0,13
25968.0,43
25482.0,76
25844.0,48
25933.0,68
25548.0,97
25726.0,129
25272.0,23
26035.0,107
25704.0,64
25728.0,64
25641.0,11
25829.0,118
25743.0,40
27867.0,42
26016.0,42
25840.0,64
25965.0,32
25748.0,50
25736.0,50
25722.0,11
25480.0,60
28745.0,42
25864.0,31
25895.0,94
25547.0,80
25280.0,135
26240.0,100
26241.0,11
26311.0,100
25915.0,48
25798.0,14
26250.0,50
26235.0,98
25468.0,107
26023.0,7
25683.0,91
28659.0,13
25259.0,14
26166.0,29
25441.0,4
25839.0,108
26219.0,100
26062.0,142
26454.0,110
25845.0,42
26050.0,149
26449.0,64
25624.0,43
26415.0,64
25771.0,72
26688.0,64
26325.0,48
25833.0,59
26173.0,90
26519.0,48
25564.0,12
26090.0,85
25837.0,11
26427.0,109
25974.0,136
27218.0,95
26233.0,50
26227.0,11
26491.0,35
26655.0,67
26296.0,117
26708.0,65
25652.0,31
26332.0,23
26411.0,23
26367.0,22
26783.0,151
26635.0,151
26136.0,107
26786.0,87
26277.0,11
26779.0,107
26407.0,74
26526.0,22
26413.0,22
26321.0,48
25438.0,36
26613.0,90
26583.0,67
26301.0,107
26462.0,11
26686.0,43
26498.0,72
26851.0,23
26929.0,151
26533.0,36
26664.0,64
26901.0,31
26919.0,81
26628.0,64
26357.0,48
26933.0,48
26679.0,107
26172.0,20
26955.0,39
27001.0,16
26539.0,22
25822.0,41
26761.0,108
26539.0,117
26830.0,50
27034.0,43
26605.0,14
26675.0,48
26150.0,75
26863.0,13
26600.0,22
26999.0,59
27041.0,30
27063.0,134
27165.0,74
26832.0,97
25852.0,67
26942.0,36
27131.0,64
26607.0,23
26925.0,22
28160.0,23
26778.0,141
26658.0,60
27313.0,133
26864.0,42
27235.0,85
26740.0,39
26719.0,72
27073.0,67
26979.0,63
26923.0,23
27410.0,100
26372.0,61
27141.0,4
26913.0,72
26754.0,22
27061.0,42
26961.0,67
26734.0,31
26895.0,21
26266.0,65
27368.0,6
27290.0,24
27062.0,14
26348.0,27
27244.0,142
27156.0,136
26788.0,108
27291.0,67
27230.0,50
27026.0,64
26938.0,48
26510.0,54
26922.0,60
26903.0,117
27067.0,22
27082.0,91
27390.0,47
26768.0,149
26648.0,50
27063.0,134
25944.0,80
27184.0,35
27484.0,132
25939.0,80
27459.0,49
26744.0,96
27469.0,22
27190.0,48
27598.0,120
26912.0,150
27472.0,100
27281.0,54
26592.0,50
27284.0,29
26912.0,10
27504.0,125
27641.0,73
27548.0,29
27579.0,81
27506.0,22
27390.0,13
26787.0,141
27315.0,54
27731.0,16
27181.0,33
27843.0,107
27461.0,50
27618.0,7
27262.0,80
27148.0,116
27709.0,100
27079.0,5
26779.0,94
27736.0,7
27765.0,17
27739.0,108
26637.0,122
27334.0,151
27556.0,13
27386.0,48
27730.0,110
27889.0,51
27122.0,5
27694.0,73
27281.0,14
27636.0,50
28047.0,26
28012.0,13
26853.0,42
27827.0,48
27783.0,68
27633.0,64
27523.0,7
27917.0,48
27243.0,22
27600.0,136
27648.0,7
27826.0,48
27828.0,13
27545.0,64
27847.0,97
27744.0,84
27472.0,11
27802.0,64
28196.0,100
26800.0,43
27906.0,64
27644.0,58
27692.0,30
27161.0,60
28093.0,85
27380.0,50
27899.0,74
28073.0,59
