starttime,start station id
184.0,116
186.0,10
422.0,95
466.0,60
508.0,90
521.0,89
859.0,88
1034.0,12
1241.0,72
1317.0,43
1950.0,132
2078.0,100
2079.0,72
2133.0,52
2378.0,75
2455.0,24
2965.0,49
2966.0,33
2975.0,24
3047.0,33
3084.0,75
3100.0,75
3110.0,21
3279.0,100
3429.0,81
3450.0,134
3558.0,29
3675.0,44
3771.0,51
3815.0,43
4181.0,134
4438.0,90
5027.0,75
5050.0,23
5117.0,45
5587.0,75
6593.0,6
7362.0,12
7403.0,108
8869.0,119
8898.0,119
9826.0,46
10925.0,32
14655.0,39
16549.0,6
16613.0,46
16987.0,13
17913.0,71
18635.0,6
18718.0,60
19078.0,67
19121.0,82
19172.0,39
19257.0,108
19318.0,16
19428.0,63
19616.0,105
19716.0,57
19720.0,88
19785.0,60
19863.0,94
19877.0,75
19887.0,40
20304.0,98
20371.0,31
20467.0,66
20474.0,22
20492.0,82
20543.0,118
20669.0,94
20713.0,60
20738.0,60
20883.0,100
20910.0,52
20922.0,143
20958.0,47
20978.0,63
21062.0,128
21148.0,16
21166.0,66
21178.0,12
21186.0,69
21276.0,116
21282.0,60
21364.0,6
21468.0,40
21492.0,58
21532.0,6
21599.0,88
21616.0,121
21712.0,36
21752.0,82
21757.0,4
21762.0,64
22032.0,52
22045.0,63
22073.0,63
22132.0,58
22135.0,30
22168.0,149
22185.0,63
22206.0,46
22223.0,26
22302.0,32
22307.0,52
22520.0,145
22525.0,45
22596.0,109
22598.0,12
22615.0,109
22650.0,82
22655.0,22
22661.0,16
22673.0,87
22682.0,109
22684.0,109
22702.0,17
22702.0,48
22732.0,109
22777.0,22
22826.0,38
22839.0,66
22850.0,25
22850.0,140
22966.0,143
22968.0,124
22975.0,114
22983.0,20
23060.0,32
23067.0,95
23072.0,58
23150.0,110
23170.0,46
23177.0,77
23256.0,26
23290.0,22
23295.0,52
23299.0,19
23315.0,71
23318.0,22
23318.0,27
23322.0,139
23327.0,41
23345.0,20
23348.0,103
23365.0,98
23438.0,111
23441.0,20
23478.0,6
23525.0,22
23562.0,82
23565.0,75
23578.0,124
23625.0,36
23625.0,94
23638.0,142
23665.0,150
23684.0,42
23781.0,4
23809.0,94
23811.0,152
23856.0,66
23868.0,16
23880.0,70
23910.0,115
23936.0,40
23936.0,115
23942.0,57
23943.0,47
23982.0,122
24000.0,40
24005.0,121
24017.0,90
24020.0,149
24026.0,139
24109.0,94
24109.0,121
24115.0,39
24131.0,24
24156.0,96
24192.0,57
24223.0,36
24229.0,22
24234.0,22
24242.0,22
24244.0,22
24267.0,32
24283.0,87
24285.0,79
24290.0,20
24297.0,137
24312.0,49
24329.0,45
24342.0,48
24363.0,12
24397.0,55
24408.0,22
24410.0,25
24422.0,6
24476.0,40
24480.0,25
24483.0,44
24486.0,109
24487.0,103
24504.0,55
24517.0,116
24560.0,44
24564.0,21
24579.0,10
24580.0,26
24581.0,22
24586.0,133
24592.0,6
24597.0,63
24606.0,116
24640.0,31
24645.0,109
24649.0,109
24655.0,60
24666.0,109
24682.0,45
24684.0,60
24697.0,109
24734.0,109
24735.0,70
24815.0,22
24818.0,120
24827.0,36
24829.0,60
24861.0,47
24895.0,95
24898.0,112
24929.0,39
24945.0,26
24970.0,39
24989.0,40
24993.0,4
25000.0,109
25005.0,89
25014.0,97
25050.0,46
25059.0,36
25059.0,104
25101.0,113
25127.0,86
25138.0,134
25145.0,139
25166.0,76
25180.0,22
25193.0,21
25194.0,109
25199.0,94
25214.0,109
25220.0,109
25222.0,98
25226.0,67
25244.0,55
25249.0,26
25256.0,109
25259.0,141
25262.0,119
25266.0,22
25267.0,109
25272.0,61
25280.0,109
25311.0,109
25362.0,19
25373.0,22
25418.0,145
25437.0,16
25438.0,120
25441.0,124
25442.0,60
25468.0,13
25480.0,94
25482.0,52
25523.0,25
25547.0,134
25548.0,95
25563.0,134
25564.0,78
