stoptime,end station id
1362.0,63
3016.0,38
2999.0,38
3349.0,9
67.0,21
92.0,21
36.0,16
3401.0,87
44.0,20
396.0,97
77.0,149
266.0,58
282.0,58
399.0,55
543.0,120
595.0,75
640.0,112
2130.0,38
1907.0,38
702.0,38
3096.0,60
763.0,38
757.0,38
729.0,73
443.0,64
911.0,56
1009.0,145
1674.0,139
1053.0,69
805.0,63
2064.0,33
1644.0,80
1208.0,98
1635.0,42
3046.0,45
3176.0,68
7045.0,32
6568.0,131
6074.0,111
7046.0,91
6772.0,138
3960.0,102
6810.0,88
6822.0,88
4257.0,79
3786.0,79
4703.0,88
4762.0,88
4527.0,51
5090.0,143
5037.0,9
4532.0,69
5934.0,5
6125.0,22
5939.0,58
4275.0,49
9875.0,9
10528.0,33
10562.0,16
7737.0,52
8869.0,43
8842.0,66
9811.0,14
9414.0,84
9377.0,84
11141.0,41
11747.0,9
11534.0,56
15319.0,36
21426.0,72
18219.0,67
19103.0,48
19006.0,30
19424.0,48
19574.0,58
19624.0,13
19374.0,61
19239.0,13
20004.0,142
20032.0,84
20054.0,11
19686.0,16
20026.0,9
20390.0,40
20061.0,63
20659.0,70
20318.0,112
20154.0,60
20497.0,13
20176.0,14
20742.0,50
20368.0,10
21096.0,81
21202.0,11
20775.0,48
21340.0,68
24931.0,22
25001.0,141
24543.0,67
24633.0,11
25182.0,22
21617.0,22
24625.0,22
21666.0,11
21857.0,42
21861.0,134
21986.0,16
21986.0,150
21972.0,11
21931.0,13
22133.0,11
22353.0,42
25197.0,109
22199.0,49
22315.0,47
21689.0,76
22305.0,48
21690.0,17
21876.0,117
22568.0,4
22038.0,46
22353.0,44
21782.0,80
22494.0,22
22645.0,21
22808.0,100
22081.0,24
22579.0,48
22675.0,40
22738.0,16
22706.0,11
22841.0,46
22119.0,91
22468.0,42
22951.0,25
22578.0,90
22668.0,7
22497.0,80
22507.0,64
21716.0,66
22849.0,50
23086.0,36
22554.0,65
22799.0,51
22718.0,72
22782.0,22
23213.0,117
22866.0,109
23277.0,51
24846.0,135
22883.0,14
23266.0,133
23110.0,64
23052.0,58
22701.0,61
22532.0,110
22956.0,42
22857.0,60
23422.0,43
23233.0,22
22007.0,30
22927.0,13
23156.0,70
23435.0,81
23289.0,12
23631.0,64
23453.0,40
23154.0,68
22594.0,122
23052.0,44
23379.0,60
23690.0,59
23320.0,23
23314.0,11
23500.0,35
23730.0,54
23731.0,54
23396.0,48
23371.0,84
23551.0,11
23161.0,14
23586.0,116
23652.0,25
23015.0,67
23495.0,141
23112.0,135
23219.0,67
23897.0,35
22811.0,67
23040.0,60
23668.0,60
23769.0,31
24064.0,48
23427.0,61
24028.0,42
24090.0,50
24329.0,22
23969.0,136
24179.0,42
24352.0,21
24120.0,21
24341.0,50
24064.0,135
23915.0,60
24121.0,67
23821.0,91
23855.0,91
24241.0,71
24273.0,80
24392.0,42
24224.0,23
24290.0,13
24518.0,48
23272.0,70
24254.0,88
24401.0,70
23567.0,65
23660.0,13
23873.0,91
24584.0,75
24498.0,48
24453.0,24
24294.0,14
24567.0,48
24066.0,150
24375.0,11
24254.0,48
23858.0,44
24242.0,11
24578.0,64
23872.0,149
24593.0,48
24672.0,13
24410.0,90
24533.0,11
24267.0,48
23775.0,20
24813.0,16
24374.0,60
24094.0,109
24865.0,43
27207.0,67
28148.0,72
28215.0,22
27242.0,81
28238.0,35
27830.0,134
28351.0,14
28436.0,31
28246.0,48
25212.0,75
28757.0,100
28435.0,117
27670.0,91
27921.0,35
28591.0,31
28599.0,48
25226.0,26
28526.0,64
28767.0,48
26633.0,54
28425.0,138
28770.0,64
27918.0,65
28032.0,42
25337.0,85
25398.0,23
25330.0,151
25374.0,73
28647.0,21
25485.0,100
25319.0,107
28753.0,54
28186.0,141
28682.0,61
28330.0,45
25245.0,109
28643.0,107
25771.0,48
25739.0,26
25428.0,48
25493.0,64
25496.0,22
25580.0,134
28683.0,31
25599.0,35
25576.0,52
25635.0,68
25421.0,60
25386.0,36
25576.0,48
25615.0,11
25779.0,43
25701.0,11
25336.0,41
25519.0,11
25881.0,151
28594.0,107
25536.0,150
28646.0,43
25926.0,107
28751.0,141
25254.0,76
28731.0,21
25241.0,7
25846.0,72
25746.0,50
25558.0,94
25733.0,5
25466.0,45
25697.0,50
28745.0,135
25980.0,109
28299.0,11
25989.0,81
25876.0,80
26033.0,85
25979.0,13
26083.0,16
25576.0,26
25781.0,64
25924.0,31
25843.0,22
28753.0,122
28292.0,23
25928.0,9
28743.0,49
27261.0,44
26069.0,21
26012.0,30
26173.0,100
26006.0,32
26253.0,39
26098.0,21
25796.0,22
28745.0,13
25943.0,35
26286.0,139
26351.0,100
25646.0,107
25752.0,117
25484.0,23
25209.0,61
26034.0,59
26271.0,68
26419.0,76
26473.0,72
25754.0,99
26134.0,14
26223.0,54
25891.0,90
26235.0,4
25818.0,31
25779.0,21
25925.0,14
25904.0,151
25707.0,76
26059.0,48
25786.0,136
25882.0,72
26364.0,48
26151.0,107
25282.0,64
28738.0,13
26427.0,52
26500.0,24
25243.0,60
26911.0,6
26634.0,74
26569.0,8
25260.0,36
25947.0,17
26460.0,105
25449.0,12
25407.0,39
25432.0,48
25723.0,50
26492.0,152
25629.0,4
26709.0,16
26262.0,3
26388.0,118
26374.0,22
26329.0,22
26480.0,16
26797.0,29
26698.0,74
26051.0,6
26320.0,20
26653.0,48
26580.0,115
26401.0,38
26697.0,39
25972.0,9
26735.0,59
26755.0,22
26749.0,107
26952.0,115
26137.0,42
26493.0,48
26609.0,72
26387.0,91
26517.0,72
26574.0,72
26313.0,72
26886.0,48
26605.0,67
26597.0,36
26660.0,35
27007.0,151
26665.0,23
27011.0,55
27062.0,17
26783.0,90
26113.0,52
27030.0,38
26811.0,48
26405.0,35
26589.0,75
26654.0,5
27144.0,55
26582.0,91
25973.0,109
27034.0,48
25827.0,9
26895.0,48
26676.0,117
26593.0,22
26832.0,67
26947.0,60
26948.0,73
26872.0,64
26617.0,117
26912.0,64
26964.0,95
26924.0,22
26410.0,68
27127.0,11
26577.0,72
27203.0,64
26877.0,97
26807.0,135
27331.0,68
27368.0,16
26185.0,22
27177.0,107
26902.0,85
27054.0,13
26665.0,22
26468.0,45
26867.0,23
27111.0,22
26503.0,60
27252.0,50
26910.0,35
26082.0,72
26897.0,72
27295.0,35
26906.0,72
27441.0,100
27028.0,78
26702.0,50
27207.0,35
27425.0,49
27206.0,69
27193.0,22
26875.0,88
27395.0,140
27217.0,22
27214.0,6
27175.0,48
26947.0,46
