starttime,start station id
36.0,13
44.0,16
67.0,61
77.0,89
92.0,61
266.0,61
282.0,61
396.0,97
399.0,45
443.0,55
543.0,22
595.0,52
640.0,88
675.0,49
729.0,115
757.0,38
763.0,38
805.0,32
911.0,54
1009.0,96
1053.0,96
1208.0,52
1674.0,74
2064.0,14
2474.0,116
2968.0,46
3046.0,55
3172.0,55
3176.0,80
3210.0,61
3222.0,61
3445.0,33
3446.0,60
3786.0,134
3960.0,71
4257.0,68
4527.0,51
4532.0,22
4703.0,88
4762.0,88
5037.0,21
5090.0,91
5934.0,122
5939.0,122
6125.0,23
6275.0,30
6928.0,9
6962.0,45
7737.0,21
8842.0,10
8869.0,22
9377.0,43
9414.0,43
9811.0,46
11141.0,9
11534.0,103
11747.0,14
15319.0,32
16111.0,6
17826.0,142
18219.0,71
19006.0,82
19103.0,121
19239.0,67
19374.0,72
19424.0,6
19574.0,4
19624.0,57
19686.0,40
20004.0,100
20026.0,75
20032.0,94
20052.0,25
20054.0,125
20061.0,40
20154.0,105
20176.0,120
20318.0,118
20368.0,88
20390.0,98
20497.0,128
20659.0,89
20742.0,51
20775.0,94
20943.0,103
21025.0,19
21033.0,66
21096.0,50
21202.0,32
21246.0,86
21331.0,4
21340.0,139
21401.0,60
21582.0,23
21597.0,121
21617.0,23
21666.0,12
21689.0,36
21690.0,11
21716.0,26
21782.0,85
21857.0,52
21861.0,120
21876.0,40
21931.0,106
21972.0,103
21986.0,22
21986.0,57
22007.0,88
22038.0,116
22081.0,58
22119.0,82
22133.0,69
22199.0,52
22305.0,58
22315.0,98
22353.0,42
22353.0,134
22468.0,109
22494.0,109
22497.0,94
22507.0,109
22532.0,109
22554.0,4
22568.0,21
22578.0,77
22579.0,63
22594.0,109
22645.0,39
22668.0,109
22675.0,22
22701.0,47
22706.0,12
22718.0,109
22738.0,152
22782.0,109
22799.0,3
22808.0,114
22811.0,76
22841.0,25
22849.0,48
22857.0,95
22866.0,22
22883.0,33
22927.0,48
22951.0,26
22956.0,22
23015.0,17
23033.0,104
23040.0,17
23052.0,85
23052.0,55
23086.0,42
23110.0,109
23112.0,65
23154.0,25
23156.0,78
23161.0,26
23213.0,141
23219.0,27
23233.0,16
23266.0,124
23272.0,86
23277.0,39
23289.0,30
23314.0,21
23320.0,39
23371.0,20
23379.0,52
23396.0,39
23422.0,40
23427.0,82
23435.0,6
23453.0,22
23495.0,20
23500.0,36
23551.0,103
23567.0,109
23586.0,70
23607.0,67
23631.0,31
23642.0,103
23660.0,109
23661.0,44
23668.0,16
23690.0,49
23730.0,4
23731.0,4
23769.0,121
23775.0,61
23821.0,115
23855.0,115
23858.0,88
23872.0,115
23873.0,115
23897.0,16
23915.0,94
23969.0,20
24028.0,21
24064.0,40
24064.0,22
24066.0,47
24070.0,122
24090.0,22
24094.0,25
24120.0,26
24121.0,55
24179.0,23
24224.0,49
24230.0,48
24241.0,89
24242.0,67
24254.0,143
24254.0,139
24267.0,113
24273.0,95
24290.0,16
24294.0,41
24318.0,135
24321.0,95
24329.0,81
24341.0,61
24352.0,16
24374.0,67
24375.0,66
24392.0,59
24401.0,17
24410.0,99
24432.0,31
24453.0,47
24498.0,4
24518.0,22
24533.0,41
24548.0,109
24567.0,6
24578.0,109
24584.0,95
24586.0,69
24593.0,152
24615.0,121
24638.0,109
24646.0,63
24672.0,16
24692.0,8
24699.0,60
24730.0,133
24751.0,51
24813.0,39
24825.0,50
24835.0,139
24836.0,40
24865.0,31
24926.0,109
24991.0,40
24994.0,104
24999.0,4
25043.0,23
25046.0,61
25047.0,6
25082.0,109
25083.0,109
25131.0,98
25138.0,104
25143.0,109
25145.0,109
25145.0,96
25151.0,105
25153.0,52
25153.0,38
25157.0,111
25167.0,120
25170.0,109
25209.0,20
25212.0,76
25226.0,16
25241.0,38
25243.0,50
25245.0,40
25254.0,21
25260.0,60
25282.0,95
25319.0,60
25330.0,64
25336.0,80
25337.0,98
25374.0,17
25386.0,76
25398.0,60
25407.0,94
25421.0,75
25428.0,58
25432.0,17
25449.0,78
25466.0,58
25484.0,128
25485.0,112
25493.0,121
25496.0,40
25519.0,66
25536.0,47
25558.0,47
25576.0,42
25576.0,84
25576.0,60
25580.0,57
25599.0,47
25615.0,82
25629.0,124
25635.0,95
25646.0,41
25697.0,43
25701.0,69
25707.0,112
25723.0,119
25733.0,11
25739.0,39
25746.0,46
25752.0,9
25754.0,100
25771.0,35
25779.0,43
25779.0,109
25781.0,109
25786.0,47
25796.0,119
25818.0,42
25827.0,22
25843.0,40
25846.0,6
25876.0,95
25881.0,40
25882.0,109
25891.0,71
25904.0,121
25924.0,48
25925.0,82
25926.0,91
25928.0,87
25943.0,26
25947.0,67
25972.0,67
25973.0,105
25979.0,57
25980.0,98
25989.0,22
26006.0,12
26012.0,86
26033.0,98
26034.0,13
26051.0,71
26059.0,94
26069.0,39
26082.0,66
26083.0,25
26098.0,39
26113.0,20
26134.0,86
26137.0,94
26151.0,9
26170.0,20
26173.0,102
26185.0,99
26223.0,26
26235.0,13
26253.0,51
26262.0,51
26271.0,105
26286.0,68
26313.0,71
26320.0,152
26329.0,39
26351.0,118
26364.0,31
26374.0,26
26387.0,122
26388.0,112
26401.0,22
26405.0,94
26410.0,94
26419.0,116
26427.0,39
26429.0,76
26460.0,17
26468.0,88
26473.0,117
26480.0,63
26492.0,16
26493.0,129
26500.0,22
26503.0,14
26517.0,116
26558.0,9
26569.0,41
26574.0,88
26577.0,85
26580.0,140
26582.0,109
26589.0,71
26593.0,39
26597.0,152
26605.0,122
26609.0,109
26613.0,61
26617.0,61
26634.0,104
26653.0,109
26654.0,9
26660.0,25
26665.0,39
26665.0,52
26667.0,131
26676.0,38
26697.0,21
26698.0,87
26702.0,109
26709.0,25
26735.0,26
26749.0,75
26755.0,40
26783.0,38
26790.0,27
26797.0,149
26807.0,20
26808.0,86
26811.0,4
26821.0,105
26832.0,58
26836.0,115
26842.0,115
26867.0,36
26872.0,109
26875.0,94
26877.0,115
26886.0,40
26895.0,109
26897.0,38
26902.0,109
26905.0,132
26906.0,109
26910.0,57
26912.0,109
26918.0,75
26924.0,40
26929.0,109
26937.0,5
26947.0,128
26947.0,84
26948.0,17
26952.0,99
26956.0,109
26959.0,78
26964.0,72
27007.0,35
27011.0,16
27028.0,41
27028.0,112
27030.0,98
27034.0,40
27041.0,59
27043.0,41
27051.0,99
27054.0,59
27062.0,87
27082.0,36
27084.0,81
27108.0,71
27111.0,40
27114.0,8
27122.0,103
27127.0,69
27144.0,5
27150.0,114
27161.0,97
27162.0,104
27171.0,27
27175.0,143
27177.0,139
27177.0,68
27193.0,26
27198.0,13
27203.0,20
27206.0,11
27207.0,151
27214.0,16
27217.0,25
27227.0,69
27252.0,57
27267.0,43
27268.0,41
27282.0,29
27283.0,25
27295.0,6
27297.0,132
27303.0,45
27331.0,139
27332.0,139
27343.0,45
27348.0,65
27350.0,52
27360.0,113
27361.0,134
27366.0,20
27367.0,63
27368.0,25
27377.0,134
27378.0,52
27395.0,118
27400.0,105
27413.0,8
27414.0,121
27425.0,22
27441.0,118
27449.0,22
27452.0,76
27471.0,94
27471.0,82
27472.0,52
27474.0,52
27475.0,109
27484.0,4
27484.0,79
27485.0,124
27496.0,105
27505.0,109
27511.0,143
27533.0,142
27546.0,118
27562.0,110
27570.0,43
27571.0,75
27589.0,97
27594.0,25
27595.0,109
27595.0,94
27598.0,88
27601.0,150
27606.0,52
27607.0,82
27608.0,85
27613.0,104
27616.0,88
27623.0,57
27627.0,102
27629.0,36
27646.0,102
27648.0,67
27650.0,16
27653.0,49
27653.0,55
27657.0,121
27666.0,121
27672.0,90
27677.0,98
27698.0,47
27706.0,149
27712.0,71
27718.0,20
27719.0,4
27734.0,115
27745.0,38
27746.0,115
27748.0,78
27748.0,115
27749.0,115
27750.0,109
27753.0,115
27754.0,139
27755.0,115
27760.0,113
27769.0,94
27770.0,109
27771.0,22
27773.0,105
27777.0,6
27781.0,109
27784.0,109
27785.0,119
27794.0,145
27796.0,103
27802.0,99
27806.0,22
27815.0,47
27816.0,46
27818.0,60
27819.0,109
27830.0,67
27846.0,91
27854.0,38
27854.0,38
27877.0,22
27878.0,76
27882.0,76
27890.0,72
27899.0,38
27908.0,116
27909.0,25
27912.0,98
27923.0,88
27943.0,109
27943.0,38
27946.0,13
27951.0,42
27953.0,125
27955.0,103
27957.0,80
27960.0,150
27961.0,69
27981.0,47
27992.0,114
27996.0,121
28013.0,149
28013.0,134
28017.0,107
28017.0,57
28019.0,57
28028.0,94
28029.0,112
28032.0,133
28046.0,57
28061.0,51
28063.0,22
28066.0,38
28068.0,113
28080.0,38
28084.0,78
28091.0,6
28103.0,81
28104.0,47
28120.0,51
28120.0,72
28125.0,57
28126.0,98
28128.0,54
28133.0,32
28133.0,123
28136.0,47
28146.0,88
28151.0,38
28172.0,25
28176.0,54
28183.0,47
28197.0,54
28203.0,134
28206.0,26
28211.0,38
28217.0,21
28219.0,113
28221.0,38
28231.0,45
28232.0,151
28233.0,90
28237.0,8
28238.0,38
28255.0,21
28260.0,116
28261.0,47
28265.0,50
28268.0,3
28277.0,66
28282.0,22
28286.0,11
28288.0,4
28292.0,152
28292.0,38
28293.0,11
28301.0,38
28304.0,38
28305.0,87
28322.0,16
28324.0,39
28324.0,115
28328.0,149
28341.0,91
28375.0,95
28379.0,145
28381.0,114
28382.0,133
28383.0,17
28385.0,105
28388.0,47
28397.0,115
28406.0,12
28414.0,22
28434.0,94
28439.0,119
28448.0,38
28450.0,78
28466.0,140
28469.0,44
28471.0,58
28480.0,59
28483.0,114
28485.0,70
28489.0,47
28494.0,38
28499.0,38
28500.0,4
28500.0,38
28501.0,38
28504.0,124
28504.0,9
28506.0,123
28510.0,38
28525.0,120
28531.0,54
28547.0,46
28547.0,120
28550.0,31
28559.0,95
28563.0,94
28566.0,95
28568.0,95
28570.0,126
28572.0,58
28574.0,38
28579.0,60
28582.0,121
28582.0,55
28608.0,107
28616.0,109
28618.0,94
28630.0,120
28632.0,88
28634.0,91
28637.0,76
28654.0,108
28654.0,63
28655.0,81
28661.0,22
28671.0,39
28673.0,138
28680.0,22
28691.0,47
28695.0,119
28697.0,22
28697.0,120
28704.0,129
28706.0,91
28711.0,63
28720.0,43
28729.0,45
28731.0,97
28733.0,4
28735.0,24
28736.0,150
28737.0,39
28740.0,22
28756.0,98
28766.0,50
28774.0,4
28780.0,80
28781.0,25
28784.0,108
28785.0,112
28799.0,115
28801.0,22
28801.0,4
28802.0,96
28818.0,82
28826.0,6
28828.0,67
28843.0,122
28847.0,129
28850.0,69
28852.0,45
28855.0,47
28859.0,152
28859.0,23
28866.0,114
28868.0,50
28870.0,15
28886.0,119
28886.0,45
28887.0,79
28888.0,88
28893.0,63
28897.0,27
28913.0,23
28919.0,17
28932.0,47
28948.0,27
28951.0,78
28952.0,119
28952.0,4
28958.0,25
28959.0,76
28973.0,55
28983.0,105
28990.0,21
28993.0,76
29011.0,119
29011.0,49
29013.0,39
29015.0,121
29017.0,109
29021.0,20
29027.0,68
29029.0,112
29032.0,25
29035.0,22
29040.0,91
29045.0,25
29048.0,121
29052.0,129
29055.0,38
29056.0,61
29060.0,22
29062.0,30
29063.0,90
29068.0,48
29074.0,60
29078.0,20
29080.0,91
29081.0,109
29082.0,22
29088.0,22
29091.0,116
29101.0,109
29112.0,22
29118.0,26
29123.0,109
29124.0,22
29139.0,109
29143.0,109
29148.0,152
29153.0,152
29156.0,63
29171.0,50
29180.0,98
29183.0,104
29183.0,95
29189.0,109
29189.0,27
29190.0,22
29193.0,69
29198.0,87
29204.0,121
29212.0,46
29215.0,73
29218.0,61
29219.0,99
29223.0,109
29225.0,47
29234.0,109
29234.0,49
29241.0,114
29247.0,123
29253.0,141
29262.0,79
29262.0,50
29268.0,150
29271.0,22
29271.0,11
29274.0,23
29282.0,121
29282.0,120
29296.0,27
29298.0,13
29313.0,41
29320.0,38
29323.0,69
29332.0,98
29337.0,33
29341.0,47
29355.0,60
29363.0,6
29367.0,52
29378.0,16
29381.0,109
29384.0,109
29388.0,6
29390.0,19
29391.0,39
29400.0,60
29412.0,1
29413.0,87
29423.0,119
29446.0,120
29447.0,105
29459.0,114
29467.0,16
29480.0,12
29492.0,116
29493.0,95
29500.0,38
29500.0,88
29500.0,91
29505.0,67
29509.0,121
29514.0,6
29514.0,4
29516.0,151
29519.0,71
29520.0,109
29520.0,50
29524.0,39
29525.0,23
29527.0,16
29535.0,60
29536.0,125
29540.0,16
29541.0,120
29544.0,65
29554.0,113
29557.0,93
29561.0,26
29567.0,23
29595.0,16
29599.0,68
29606.0,48
29609.0,78
29617.0,66
29620.0,20
29621.0,39
29622.0,139
29633.0,38
29634.0,85
29638.0,90
29641.0,32
29653.0,85
29658.0,27
29663.0,26
29665.0,109
29677.0,79
29678.0,118
29683.0,71
29686.0,16
29694.0,91
29700.0,68
29701.0,115
29707.0,115
29713.0,23
29720.0,134
29726.0,47
29732.0,22
29733.0,38
29734.0,7
29737.0,152
29737.0,22
29738.0,98
29759.0,47
29760.0,61
29763.0,55
29775.0,98
29776.0,107
29779.0,99
29782.0,87
29789.0,99
29798.0,78
29798.0,103
29803.0,68
29805.0,98
29811.0,87
29813.0,75
29816.0,116
29816.0,12
29818.0,107
29833.0,124
29837.0,115
29839.0,22
29856.0,6
29857.0,69
29858.0,50
29866.0,71
29869.0,22
29874.0,8
29874.0,46
29882.0,49
29884.0,96
29885.0,14
29887.0,87
29893.0,87
29900.0,114
29932.0,23
29934.0,41
29934.0,88
29939.0,46
29944.0,46
29958.0,119
29973.0,23
29974.0,49
29978.0,26
29990.0,13
29991.0,38
30002.0,9
30006.0,130
30012.0,152
30012.0,90
30018.0,85
30019.0,54
30021.0,22
30036.0,109
30041.0,77
30051.0,54
30053.0,118
30068.0,31
30072.0,136
30075.0,122
30078.0,21
30098.0,122
30101.0,90
30102.0,90
30104.0,51
30105.0,16
30108.0,95
30109.0,109
30109.0,79
30113.0,122
30124.0,134
30132.0,38
30146.0,44
30158.0,38
30158.0,54
30163.0,17
30164.0,91
30164.0,121
30168.0,66
30170.0,113
30183.0,99
30188.0,22
30188.0,22
30192.0,38
30197.0,109
30208.0,113
30208.0,120
30213.0,134
30217.0,36
30221.0,23
30222.0,113
30230.0,21
30240.0,112
30243.0,52
30253.0,98
30256.0,40
30263.0,136
30263.0,100
30267.0,43
30274.0,68
30276.0,38
30277.0,79
30278.0,39
30299.0,48
30304.0,49
30304.0,75
30306.0,43
30307.0,75
30313.0,43
30318.0,75
30333.0,43
30334.0,87
30334.0,63
30352.0,21
30352.0,17
30356.0,73
30357.0,57
30361.0,46
30367.0,139
30368.0,105
30374.0,77
30377.0,22
30391.0,36
30393.0,109
30394.0,114
30395.0,13
30399.0,74
30399.0,87
30400.0,55
30408.0,39
30414.0,54
30415.0,90
30418.0,23
30420.0,43
30420.0,46
30420.0,97
30434.0,120
30438.0,118
30443.0,81
30448.0,76
30453.0,152
30455.0,72
30462.0,125
30465.0,104
30466.0,21
30470.0,68
30483.0,87
30485.0,45
30487.0,118
30488.0,43
30492.0,105
30492.0,36
30494.0,64
30498.0,103
30510.0,78
30522.0,32
30523.0,41
30534.0,68
30554.0,109
30559.0,149
30562.0,36
30562.0,109
30570.0,74
30581.0,99
30582.0,151
30587.0,125
30594.0,109
30595.0,79
30595.0,88
30595.0,6
30596.0,68
30597.0,88
30606.0,60
30628.0,116
30628.0,3
30644.0,61
30647.0,46
30648.0,22
30650.0,86
30652.0,41
30653.0,88
30654.0,96
30655.0,117
30660.0,141
30670.0,95
30687.0,79
30692.0,109
30696.0,132
30697.0,40
30698.0,38
30699.0,38
30703.0,129
30709.0,84
30718.0,61
30719.0,3
30724.0,139
30729.0,61
30730.0,102
30742.0,12
30742.0,40
30746.0,109
30748.0,125
30754.0,61
30767.0,5
30770.0,104
30774.0,13
30785.0,44
30791.0,16
30795.0,110
30804.0,109
30812.0,6
30814.0,5
30816.0,116
30821.0,88
30830.0,118
30865.0,109
30869.0,13
30870.0,20
30888.0,119
30901.0,65
30916.0,118
30927.0,116
30935.0,98
30939.0,33
30940.0,19
30941.0,72
30944.0,26
30945.0,99
30950.0,151
30953.0,109
30954.0,76
30957.0,109
30957.0,22
30969.0,82
30977.0,112
30984.0,79
30986.0,16
30994.0,117
30997.0,50
31001.0,76
31003.0,112
31003.0,21
31005.0,124
31005.0,109
31012.0,74
31013.0,87
31014.0,41
31014.0,100
31022.0,26
31030.0,109
31040.0,16
31042.0,71
31042.0,96
31044.0,9
31053.0,23
31054.0,71
31062.0,33
31069.0,22
31069.0,71
31070.0,23
31074.0,36
31082.0,66
31087.0,8
31092.0,40
31097.0,68
31098.0,128
31101.0,8
31109.0,109
31112.0,124
31116.0,13
31117.0,49
31119.0,110
31121.0,88
31128.0,9
31129.0,8
31134.0,76
31136.0,95
31141.0,95
31146.0,109
31148.0,109
31149.0,55
31155.0,124
31177.0,57
31181.0,93
31188.0,29
31191.0,26
31200.0,66
31221.0,58
31221.0,41
31221.0,149
31222.0,96
31223.0,91
31224.0,133
31226.0,98
31229.0,109
31232.0,39
31234.0,133
31248.0,26
31265.0,113
31268.0,36
31268.0,39
31270.0,6
31272.0,151
31274.0,109
31283.0,22
31287.0,72
31290.0,87
31290.0,107
31300.0,43
31313.0,74
31328.0,40
31336.0,21
31336.0,23
31345.0,118
31347.0,60
31349.0,107
31353.0,114
31353.0,61
31354.0,23
31362.0,89
31363.0,43
31363.0,115
31366.0,43
31367.0,98
31368.0,108
31371.0,114
31372.0,100
31375.0,55
31379.0,54
31382.0,5
31383.0,82
31397.0,67
31402.0,43
31402.0,32
31402.0,6
31407.0,68
31418.0,61
31423.0,109
31425.0,96
31426.0,109
31428.0,75
31431.0,15
31434.0,16
31436.0,109
31449.0,16
31452.0,3
31452.0,12
31454.0,75
31462.0,109
31463.0,43
31463.0,23
31464.0,23
31467.0,16
31474.0,17
31477.0,51
31485.0,95
31486.0,85
31498.0,59
31500.0,60
31502.0,137
31510.0,75
31514.0,26
31524.0,72
31528.0,109
31529.0,55
31531.0,120
31540.0,114
31557.0,86
31559.0,98
31565.0,109
31568.0,23
31573.0,150
31586.0,12
31619.0,151
31619.0,119
31620.0,139
31621.0,26
31639.0,151
31643.0,61
31646.0,39
31649.0,69
31657.0,125
31658.0,63
31662.0,21
31705.0,59
31720.0,16
31727.0,6
31727.0,26
31733.0,139
31739.0,90
31756.0,57
31760.0,100
31800.0,13
31803.0,133
31807.0,75
31808.0,54
31808.0,78
31817.0,139
31837.0,90
31844.0,61
31853.0,108
31863.0,87
31873.0,80
31881.0,39
31892.0,49
31897.0,68
31898.0,95
31914.0,6
31917.0,84
31920.0,40
31928.0,24
31933.0,79
31935.0,60
31943.0,120
31966.0,22
31966.0,76
31969.0,63
31975.0,98
31975.0,117
31979.0,12
31981.0,91
31988.0,50
31990.0,40
32004.0,22
32006.0,61
32014.0,78
32021.0,89
32029.0,88
32029.0,50
32031.0,126
32034.0,74
32036.0,152
32037.0,74
32037.0,22
32053.0,23
32055.0,109
32055.0,50
32063.0,22
32067.0,42
32071.0,74
32073.0,36
32083.0,98
32085.0,71
32094.0,71
32099.0,109
32101.0,98
32107.0,102
32116.0,22
32128.0,36
32131.0,145
32133.0,33
32135.0,118
32148.0,22
32150.0,55
32164.0,40
32171.0,95
32190.0,68
32193.0,68
32208.0,116
32208.0,138
32210.0,6
32215.0,67
32216.0,22
32225.0,76
32228.0,95
32237.0,114
32255.0,100
32263.0,61
32269.0,79
32277.0,24
32281.0,109
32295.0,45
32298.0,76
32301.0,49
32302.0,99
32304.0,46
32306.0,25
32312.0,60
32316.0,47
32336.0,109
32341.0,6
32347.0,90
32356.0,105
32356.0,38
32363.0,22
32366.0,38
32386.0,103
32389.0,49
32407.0,132
32428.0,79
32432.0,20
32441.0,25
32450.0,67
32458.0,104
32462.0,109
32473.0,58
32480.0,116
32495.0,38
32496.0,38
32504.0,80
32533.0,25
32536.0,136
32561.0,120
32566.0,4
32586.0,90
32632.0,79
32636.0,43
32684.0,68
32694.0,75
32699.0,122
32738.0,117
32744.0,16
32755.0,6
32768.0,11
32774.0,22
32779.0,16
32807.0,33
32817.0,71
32831.0,22
32843.0,131
32849.0,152
32860.0,79
32870.0,43
32920.0,45
32944.0,41
32954.0,67
32955.0,27
32958.0,78
32969.0,74
32973.0,86
32977.0,60
32977.0,67
32982.0,60
32988.0,66
32993.0,79
32995.0,76
33007.0,9
33013.0,44
33016.0,114
33027.0,109
33039.0,47
33054.0,44
33091.0,4
33114.0,76
33128.0,12
33134.0,117
