stoptime,end station id
3051.0,46
2996.0,82
3428.0,111
77.0,55
3201.0,106
224.0,110
348.0,100
28.0,58
3053.0,143
2841.0,27
300.0,145
3133.0,74
245.0,131
773.0,120
3458.0,99
683.0,85
147.0,5
106.0,5
1251.0,118
1539.0,40
3248.0,5
1896.0,6
783.0,138
781.0,138
2011.0,91
2663.0,104
2545.0,110
2670.0,71
2727.0,124
533.0,61
436.0,61
705.0,61
2489.0,9
2926.0,20
2505.0,17
2622.0,85
6991.0,66
6685.0,49
3691.0,107
3832.0,5
5574.0,59
5490.0,59
5480.0,59
6375.0,71
6569.0,71
6433.0,60
4229.0,73
3875.0,4
6424.0,115
5144.0,9
5294.0,68
5597.0,66
5842.0,104
5994.0,96
5765.0,85
3771.0,81
3778.0,81
6415.0,33
7333.0,67
9801.0,111
8271.0,43
8217.0,43
8254.0,43
9196.0,22
9206.0,22
8936.0,22
9694.0,8
9383.0,109
9755.0,14
7656.0,126
10078.0,59
10107.0,59
10065.0,59
10977.0,97
17646.0,143
15949.0,36
16545.0,15
17086.0,22
16486.0,6
20476.0,29
21538.0,72
18574.0,16
18419.0,29
18247.0,68
18719.0,30
18516.0,67
18482.0,14
18985.0,54
19041.0,50
19446.0,6
19344.0,21
19368.0,48
18974.0,29
19698.0,13
19711.0,11
19520.0,13
19919.0,52
20299.0,68
20038.0,150
19981.0,9
20591.0,5
20142.0,10
20907.0,38
20080.0,150
20800.0,22
21084.0,16
20960.0,150
20740.0,11
20011.0,61
20944.0,48
21295.0,48
21149.0,40
24756.0,11
24474.0,63
24524.0,11
25008.0,134
25123.0,17
23574.0,12
21601.0,9
25045.0,13
24353.0,107
21646.0,33
21708.0,16
21958.0,16
21847.0,14
24590.0,29
21851.0,19
22091.0,48
24869.0,117
24095.0,54
21714.0,91
21875.0,11
24655.0,55
21966.0,22
21633.0,6
21761.0,29
22158.0,49
22077.0,13
21884.0,134
22580.0,16
22479.0,35
22012.0,70
22525.0,132
22601.0,11
22791.0,100
22617.0,90
22046.0,24
24888.0,67
22677.0,40
22603.0,11
22699.0,125
22766.0,46
22444.0,42
22849.0,47
22896.0,42
22611.0,12
24206.0,22
22471.0,26
25161.0,30
22416.0,149
22863.0,64
22846.0,129
23064.0,25
22598.0,14
22779.0,22
22597.0,135
22986.0,70
22346.0,82
23237.0,100
22012.0,60
22760.0,61
23113.0,96
22754.0,22
23189.0,35
22992.0,70
23140.0,16
23210.0,42
23294.0,150
22247.0,60
22131.0,66
22532.0,45
22452.0,52
23100.0,13
23160.0,73
23467.0,40
22568.0,122
23545.0,44
23340.0,14
22940.0,70
23576.0,11
22836.0,67
22666.0,5
23795.0,115
23503.0,60
23088.0,43
23566.0,48
23957.0,64
23477.0,26
23834.0,3
22853.0,30
23300.0,29
23275.0,136
23818.0,3
23982.0,21
23337.0,23
23700.0,23
24017.0,6
24066.0,48
23869.0,109
23015.0,20
24089.0,6
24238.0,100
23943.0,48
24246.0,100
24248.0,22
23435.0,67
23587.0,7
23775.0,72
23728.0,61
23790.0,91
23806.0,91
24078.0,22
24159.0,22
24263.0,48
24006.0,60
24481.0,48
24186.0,48
23815.0,141
24300.0,13
24383.0,50
24298.0,24
24018.0,134
24558.0,109
24153.0,22
23823.0,91
24553.0,151
23943.0,80
24146.0,57
23412.0,48
24735.0,75
23464.0,96
24736.0,100
23642.0,30
24610.0,75
24475.0,64
24605.0,150
24648.0,151
24393.0,41
24631.0,70
24783.0,100
24927.0,43
24475.0,31
24600.0,7
24772.0,36
24495.0,64
24172.0,11
23490.0,67
24283.0,16
24610.0,85
23689.0,81
24925.0,100
25009.0,100
28492.0,48
27178.0,11
28002.0,136
28660.0,133
28117.0,46
28538.0,48
28610.0,92
28446.0,11
28300.0,117
28420.0,31
27572.0,85
25230.0,14
28413.0,85
28698.0,16
28515.0,48
28558.0,109
25210.0,43
28759.0,151
28509.0,35
28771.0,60
28506.0,64
27909.0,49
28126.0,117
25278.0,38
28673.0,72
25290.0,36
27902.0,30
28332.0,138
28590.0,85
28610.0,45
28533.0,91
28722.0,50
28648.0,60
28425.0,68
25306.0,81
28787.0,30
28429.0,50
25337.0,7
25312.0,91
28769.0,64
28465.0,84
25340.0,36
28416.0,91
25247.0,4
28683.0,50
25297.0,80
25248.0,22
25598.0,76
28439.0,23
27703.0,36
28664.0,61
28659.0,76
25558.0,80
25348.0,22
25282.0,117
25673.0,73
28157.0,70
25546.0,64
25644.0,11
28369.0,61
28294.0,11
25614.0,54
28631.0,48
25941.0,107
25532.0,11
25926.0,10
25570.0,40
25237.0,72
28798.0,6
25923.0,20
25575.0,50
25632.0,50
25680.0,60
25326.0,135
25582.0,48
26044.0,16
26114.0,26
25640.0,7
25315.0,8
25780.0,64
25878.0,6
26001.0,24
26014.0,21
26054.0,107
25723.0,64
25788.0,64
28781.0,122
25631.0,21
28204.0,60
25731.0,95
25975.0,35
26080.0,73
26127.0,59
26217.0,13
26183.0,107
25541.0,17
25914.0,84
26187.0,13
26449.0,134
27899.0,6
25842.0,21
28783.0,11
25939.0,80
25881.0,90
26361.0,42
26226.0,32
25410.0,10
26142.0,48
26506.0,115
25781.0,14
26011.0,91
26482.0,100
26210.0,3
25763.0,107
25786.0,72
26457.0,55
26512.0,14
26270.0,72
25785.0,96
26454.0,31
26561.0,48
26548.0,73
26378.0,59
26160.0,74
26135.0,48
25640.0,71
26300.0,97
26480.0,48
26437.0,135
26422.0,31
26434.0,60
26640.0,151
26629.0,39
26658.0,11
25965.0,136
25709.0,12
26658.0,72
26618.0,50
26043.0,72
26582.0,88
26059.0,13
26348.0,11
26788.0,59
26391.0,22
26972.0,151
26482.0,131
26844.0,64
26688.0,90
26871.0,64
26667.0,14
26740.0,64
26862.0,134
27060.0,72
26610.0,90
26584.0,50
25928.0,141
26596.0,22
26786.0,88
25563.0,23
27133.0,100
27046.0,55
27140.0,29
26869.0,64
26355.0,17
27067.0,85
26908.0,110
26721.0,64
26360.0,60
26730.0,19
25506.0,6
26880.0,10
26012.0,48
26584.0,7
26861.0,7
26794.0,22
26871.0,72
27334.0,100
26723.0,41
26924.0,22
27075.0,64
26662.0,50
26676.0,117
26901.0,48
26811.0,117
26389.0,81
26854.0,48
27430.0,152
26775.0,67
26567.0,31
26563.0,48
27228.0,152
26895.0,60
27316.0,98
26936.0,107
26461.0,60
27151.0,142
27263.0,23
27089.0,54
27482.0,16
27160.0,35
27510.0,100
27368.0,50
27272.0,5
27029.0,79
27095.0,11
26842.0,6
26630.0,50
27081.0,68
27328.0,52
26621.0,5
27493.0,47
27311.0,73
27210.0,67
26680.0,149
27457.0,48
26339.0,43
27208.0,48
27151.0,11
27199.0,75
27197.0,80
27303.0,60
27365.0,74
27303.0,6
27478.0,48
26694.0,21
27306.0,67
26771.0,4
27594.0,17
27666.0,21
27575.0,143
27382.0,35
26664.0,14
26648.0,9
27210.0,14
26634.0,94
26699.0,141
27481.0,70
27470.0,45
27556.0,31
27076.0,6
27396.0,64
27643.0,36
25852.0,36
27433.0,91
27555.0,115
27625.0,49
26287.0,11
27387.0,50
27857.0,149
