stoptime,end station id
325.0,76
887.0,97
1165.0,75
6883.0,116
5481.0,95
10795.0,95
10795.0,96
7200.0,89
20956.0,74
25129.0,74
22796.0,76
22802.0,76
23111.0,67
28448.0,91
26110.0,74
25920.0,80
25963.0,143
25564.0,75
26958.0,105
27578.0,73
27922.0,96
28211.0,117
32000.0,72
32120.0,80
29080.0,105
32363.0,117
29000.0,140
29525.0,76
29911.0,67
29020.0,143
32149.0,75
30267.0,116
30146.0,74
29412.0,75
30270.0,110
30209.0,107
30568.0,73
30544.0,76
30904.0,87
30833.0,107
30687.0,67
30941.0,75
30898.0,108
30783.0,72
31112.0,76
31098.0,76
30937.0,107
31102.0,80
31167.0,80
30903.0,72
31171.0,67
31242.0,67
31253.0,80
31546.0,70
31421.0,90
31542.0,80
31554.0,87
31820.0,73
31924.0,67
31860.0,76
32049.0,84
32075.0,84
32119.0,117
35798.0,68
35684.0,117
35825.0,68
35738.0,80
35849.0,67
35861.0,96
32778.0,72
32628.0,73
32703.0,72
32904.0,84
32849.0,90
32760.0,74
32857.0,90
35458.0,70
33351.0,115
33273.0,107
33573.0,76
33646.0,107
33706.0,84
33774.0,107
33533.0,67
33833.0,141
33635.0,91
34161.0,80
34019.0,80
34278.0,107
33939.0,73
35012.0,143
34794.0,91
35006.0,68
35073.0,75
34856.0,140
35344.0,74
35478.0,70
35661.0,110
35515.0,107
35307.0,67
34742.0,84
39530.0,143
38866.0,84
39069.0,72
39445.0,80
39122.0,67
39490.0,70
36033.0,80
36038.0,107
36478.0,108
36341.0,107
36461.0,108
36438.0,107
36740.0,115
36835.0,91
36934.0,75
37451.0,84
36929.0,110
37808.0,91
38259.0,74
38333.0,107
38290.0,104
38098.0,110
38797.0,110
38667.0,70
39184.0,76
38818.0,67
39151.0,91
43063.0,67
43079.0,80
39922.0,107
40042.0,72
40339.0,80
40617.0,107
41173.0,72
41606.0,89
42173.0,67
42677.0,110
42458.0,67
41766.0,67
42470.0,107
46650.0,107
43368.0,80
43424.0,88
46223.0,110
43687.0,96
43830.0,74
43969.0,74
44789.0,105
45267.0,68
45736.0,75
45558.0,95
46064.0,80
46137.0,115
46267.0,80
49963.0,68
50003.0,80
50374.0,75
49903.0,73
46841.0,115
47006.0,80
47880.0,96
48112.0,67
47844.0,89
48399.0,67
48001.0,107
48104.0,95
48663.0,141
48932.0,89
49197.0,91
48398.0,67
49588.0,116
48803.0,67
49808.0,110
49690.0,68
49871.0,107
49688.0,95
53594.0,118
52218.0,84
53524.0,87
50612.0,105
50428.0,107
51151.0,87
51380.0,84
50667.0,84
51312.0,108
51420.0,95
50672.0,88
51857.0,67
51927.0,110
51229.0,74
50689.0,118
51269.0,110
51938.0,87
52079.0,88
52362.0,68
52665.0,104
52559.0,115
52616.0,67
53202.0,73
53179.0,107
53258.0,67
54478.0,110
54518.0,105
54575.0,74
54561.0,74
55386.0,72
55693.0,67
56207.0,89
56695.0,74
56894.0,80
57043.0,68
57146.0,74
60699.0,80
59760.0,110
61134.0,104
61100.0,95
60756.0,108
57877.0,95
57981.0,75
58244.0,72
58584.0,115
58301.0,115
58685.0,68
58702.0,107
58736.0,68
58519.0,89
59091.0,84
58765.0,110
59106.0,105
59432.0,145
59543.0,67
58519.0,118
59832.0,95
60371.0,87
60205.0,67
60774.0,116
60567.0,90
60915.0,89
60811.0,76
60975.0,91
64254.0,74
64700.0,67
64604.0,105
64040.0,67
64487.0,88
64469.0,88
64378.0,105
61368.0,108
64745.0,115
61343.0,67
61422.0,110
61327.0,67
61500.0,88
61643.0,84
61668.0,116
63793.0,142
61891.0,72
61972.0,89
61957.0,115
62135.0,107
62025.0,116
62792.0,67
62759.0,75
62421.0,115
62466.0,142
62987.0,104
63102.0,88
63045.0,76
63247.0,68
63200.0,116
63176.0,75
63008.0,88
63390.0,68
62882.0,73
63398.0,105
63476.0,88
63723.0,91
63904.0,88
64055.0,68
64105.0,88
63990.0,90
64016.0,91
63695.0,105
67275.0,105
68112.0,90
68166.0,90
67964.0,88
64846.0,143
68050.0,96
68380.0,76
68086.0,88
64959.0,104
65301.0,90
65402.0,73
65409.0,96
65160.0,87
65161.0,95
65679.0,67
65616.0,68
65378.0,95
64981.0,96
65699.0,115
65153.0,115
65927.0,68
66071.0,115
66369.0,95
66448.0,68
66693.0,104
66267.0,105
65949.0,142
66851.0,90
66834.0,88
