starttime,start station id
922.0,74
3911.0,96
4896.0,67
5873.0,107
5967.0,91
5974.0,91
6009.0,91
25875.0,116
26319.0,115
27944.0,76
29539.0,68
31176.0,96
31666.0,95
31727.0,88
32177.0,76
32574.0,76
33001.0,87
33459.0,74
33553.0,88
33883.0,116
34104.0,96
34481.0,104
34891.0,118
34991.0,107
35138.0,75
35235.0,68
35570.0,91
35653.0,105
35713.0,107
35716.0,95
36383.0,96
36643.0,76
36956.0,76
37027.0,95
37154.0,91
37757.0,91
37757.0,96
38007.0,96
38855.0,67
38875.0,75
39019.0,95
39069.0,90
39404.0,75
39427.0,87
39723.0,87
40170.0,108
40224.0,107
40307.0,96
40593.0,91
40617.0,105
40657.0,107
41375.0,88
41379.0,105
41934.0,105
42157.0,110
42291.0,90
42738.0,95
42765.0,87
43060.0,141
43097.0,88
43212.0,67
43487.0,67
43507.0,67
43592.0,110
43660.0,74
43906.0,84
44336.0,68
44591.0,141
45065.0,105
45094.0,96
45248.0,89
45456.0,115
45689.0,115
46053.0,96
46326.0,76
47389.0,96
47427.0,96
47560.0,96
47600.0,96
47846.0,118
47894.0,105
48044.0,68
48045.0,68
48140.0,72
48213.0,73
48235.0,73
48255.0,96
48724.0,75
49004.0,88
49216.0,104
49254.0,104
49386.0,73
49480.0,74
49481.0,110
49557.0,90
49572.0,145
49572.0,104
49644.0,104
50014.0,118
50225.0,105
50825.0,115
51127.0,76
51146.0,118
51281.0,95
51667.0,107
51857.0,108
51881.0,108
52360.0,74
52453.0,68
52546.0,74
52928.0,105
52963.0,90
52997.0,104
53035.0,116
53055.0,84
53070.0,104
53073.0,90
53118.0,96
53157.0,74
53184.0,84
53514.0,108
53592.0,110
53650.0,88
53698.0,74
53877.0,142
54967.0,89
55349.0,74
55553.0,88
55702.0,80
56158.0,68
56174.0,96
56292.0,91
56447.0,95
56592.0,75
56630.0,75
56860.0,76
56873.0,67
56875.0,67
56877.0,67
56887.0,110
56898.0,67
57068.0,107
57320.0,107
57327.0,76
57422.0,95
57798.0,80
58062.0,115
58095.0,72
58155.0,105
58303.0,105
58697.0,74
59179.0,115
59190.0,115
59391.0,74
59396.0,74
59624.0,67
59770.0,75
59985.0,76
60158.0,107
60705.0,80
60932.0,75
61018.0,107
61138.0,68
61354.0,75
61433.0,75
61638.0,107
61680.0,107
61872.0,72
62063.0,76
62449.0,67
62672.0,80
63414.0,74
63610.0,105
64661.0,117
64675.0,72
64752.0,117
64980.0,91
65750.0,67
65854.0,80
66092.0,104
66482.0,68
66752.0,84
66797.0,80
67004.0,67
67175.0,107
67333.0,68
67643.0,105
67807.0,67
68105.0,84
68118.0,84
69327.0,90
69625.0,67
69892.0,105
69980.0,68
70093.0,104
70144.0,74
70446.0,116
71272.0,90
71386.0,91
71603.0,116
71826.0,107
72011.0,96
72269.0,95
73153.0,88
74253.0,67
74641.0,88
74924.0,67
75782.0,67
75967.0,110
78616.0,76
79548.0,95
81229.0,72
81359.0,74
81659.0,108
81663.0,80
83226.0,91
83283.0,72
83294.0,74
84325.0,73
85269.0,91
86026.0,68
-1,-1
990.0,67
1262.0,90
1307.0,90
1770.0,76
1862.0,107
2642.0,68
3116.0,67
3573.0,87
3895.0,107
4007.0,108
4261.0,75
6294.0,67
9103.0,75
9564.0,67
10076.0,76
21949.0,80
23728.0,95
25169.0,97
28174.0,72
28566.0,87
30001.0,116
33439.0,68
34153.0,96
34264.0,96
34288.0,96
34517.0,76
34594.0,75
36159.0,67
37010.0,105
37810.0,75
38135.0,110
38577.0,116
38777.0,116
39736.0,108
40570.0,107
41366.0,80
41461.0,110
42136.0,96
43477.0,75
43573.0,141
43644.0,67
43916.0,73
43931.0,80
44078.0,68
44298.0,75
44990.0,104
46641.0,68
46962.0,95
47714.0,74
47878.0,105
48845.0,115
49389.0,68
49887.0,87
51367.0,87
51385.0,118
52001.0,97
52993.0,110
53978.0,118
54886.0,115
54984.0,75
55447.0,67
56082.0,70
57689.0,68
57702.0,68
58307.0,68
58906.0,105
61198.0,84
61217.0,141
62242.0,88
62703.0,107
63836.0,110
63914.0,68
64453.0,75
65478.0,107
67780.0,110
67914.0,67
68397.0,80
68709.0,80
68826.0,67
68828.0,115
69450.0,104
69594.0,88
70144.0,115
70560.0,88
70593.0,95
71326.0,68
71833.0,67
72773.0,74
73006.0,68
73829.0,67
74414.0,105
74748.0,80
75287.0,67
76765.0,72
78634.0,108
79740.0,107
80987.0,74
81074.0,75
82232.0,97
84584.0,68
-1,-1
103.0,107
360.0,67
669.0,140
1997.0,80
2151.0,74
2716.0,91
5140.0,90
18748.0,70
25027.0,80
28199.0,68
31398.0,116
31746.0,84
31864.0,95
31869.0,87
32734.0,105
32882.0,96
33410.0,145
37346.0,68
38471.0,110
39180.0,68
39344.0,116
39647.0,87
39685.0,68
40005.0,75
40102.0,70
40229.0,68
40707.0,74
40940.0,68
41346.0,68
41730.0,67
42355.0,115
42689.0,95
43629.0,95
44035.0,140
44058.0,80
44306.0,90
44650.0,89
44868.0,91
45557.0,67
45560.0,67
45673.0,80
45906.0,115
45918.0,105
46036.0,84
46133.0,75
46319.0,67
46528.0,108
48076.0,76
48215.0,75
48782.0,141
48994.0,75
49196.0,90
49289.0,76
49344.0,89
49390.0,73
49587.0,108
49592.0,108
50199.0,95
50250.0,75
50428.0,116
50920.0,142
51048.0,97
51056.0,141
51068.0,97
51159.0,68
51349.0,88
51928.0,68
52244.0,90
52610.0,84
53110.0,75
53125.0,68
53151.0,96
53184.0,73
53254.0,80
53395.0,88
53551.0,73
53552.0,73
53579.0,116
53608.0,95
53706.0,80
53932.0,108
54179.0,95
54255.0,118
54539.0,73
54570.0,67
54602.0,76
54636.0,68
54982.0,142
55401.0,75
55605.0,96
55718.0,75
55770.0,75
55838.0,76
55907.0,67
56177.0,110
56309.0,67
56341.0,67
56566.0,87
56790.0,67
57314.0,80
57365.0,68
57481.0,80
57681.0,72
57963.0,89
58014.0,96
58351.0,105
58352.0,84
58588.0,73
58753.0,91
58899.0,96
59474.0,104
59480.0,80
59541.0,105
59664.0,76
59814.0,105
60156.0,88
60650.0,70
60701.0,72
61123.0,67
61311.0,76
61814.0,91
61906.0,67
61917.0,67
61996.0,115
62196.0,68
62435.0,76
62458.0,88
62537.0,76
62575.0,67
62988.0,80
63308.0,72
63364.0,143
64330.0,89
64335.0,74
64464.0,89
64582.0,116
64937.0,74
65681.0,74
65698.0,75
66068.0,88
66174.0,116
66307.0,116
66453.0,117
66468.0,84
66807.0,95
67236.0,67
67607.0,76
67709.0,67
68343.0,87
68800.0,76
68835.0,116
68965.0,67
69351.0,107
69610.0,67
69680.0,141
69707.0,104
69985.0,110
70572.0,68
71019.0,75
71374.0,116
71590.0,90
72177.0,80
73595.0,74
73793.0,104
74172.0,145
74451.0,87
74809.0,68
74925.0,76
75133.0,115
75265.0,68
75373.0,74
75530.0,68
76064.0,72
76178.0,68
76263.0,91
77101.0,110
77159.0,107
77619.0,110
78303.0,80
78438.0,68
79879.0,75
80198.0,96
80960.0,68
81007.0,73
81128.0,91
81355.0,117
81973.0,107
82038.0,117
84094.0,88
84175.0,89
86089.0,115
-1,-1
1058.0,91
2030.0,74
2736.0,91
2742.0,91
3152.0,67
3988.0,68
5583.0,87
5993.0,67
9380.0,75
10424.0,107
12109.0,88
12602.0,74
19525.0,73
22603.0,96
24841.0,76
26996.0,67
27146.0,87
28549.0,89
29374.0,76
30767.0,68
31433.0,116
31511.0,96
31655.0,84
31810.0,118
32909.0,107
32972.0,91
33833.0,89
33834.0,104
34610.0,115
35242.0,75
35444.0,70
35827.0,116
36393.0,87
36981.0,74
37804.0,84
37821.0,88
37924.0,67
38031.0,116
38305.0,105
38723.0,68
38825.0,95
39151.0,88
39715.0,89
40340.0,68
40503.0,76
41176.0,96
41234.0,68
41298.0,70
41557.0,117
41562.0,105
42341.0,105
42423.0,80
43195.0,104
43215.0,87
44053.0,88
44742.0,67
45093.0,95
45324.0,73
46365.0,97
47525.0,76
47647.0,105
47848.0,107
48157.0,87
48674.0,105
48706.0,88
49395.0,96
49513.0,84
49744.0,72
49867.0,108
49888.0,76
50292.0,104
50384.0,104
50418.0,84
50488.0,76
51009.0,91
51090.0,84
51433.0,108
51984.0,68
52598.0,104
52599.0,89
52758.0,118
53178.0,67
54228.0,84
54356.0,76
54435.0,104
55139.0,104
55459.0,74
55812.0,107
56113.0,75
56213.0,73
56328.0,141
56581.0,72
56603.0,87
56666.0,72
56710.0,75
57391.0,74
58079.0,68
58085.0,68
60070.0,74
60536.0,118
61742.0,107
62920.0,73
63977.0,75
64194.0,70
64322.0,74
64451.0,118
64771.0,105
64956.0,89
64978.0,73
65106.0,107
65804.0,72
66576.0,68
66581.0,68
66745.0,88
66750.0,88
66778.0,72
67048.0,88
67861.0,107
67975.0,67
68221.0,74
68280.0,104
68420.0,67
68669.0,84
68729.0,89
68815.0,118
68995.0,104
69871.0,115
70303.0,96
70907.0,115
70908.0,67
71037.0,95
71632.0,88
72201.0,74
73688.0,68
73854.0,117
74293.0,91
74533.0,117
74625.0,67
75224.0,80
76281.0,80
76451.0,80
76818.0,104
