stoptime,end station id
27.0,96
1531.0,91
1887.0,91
6217.0,118
9529.0,96
12110.0,74
15552.0,75
21266.0,73
25011.0,76
22372.0,91
23172.0,67
24122.0,74
24523.0,80
28781.0,107
25365.0,80
26058.0,80
25937.0,88
25730.0,140
27250.0,80
27258.0,74
27514.0,108
27879.0,84
27667.0,80
27932.0,80
28356.0,76
28547.0,75
28947.0,107
28931.0,76
32300.0,140
29194.0,67
28954.0,72
29008.0,67
29529.0,73
29062.0,105
29558.0,70
29365.0,67
29489.0,107
29767.0,107
29938.0,116
29120.0,117
29627.0,76
29855.0,74
30274.0,80
30478.0,76
30448.0,80
30115.0,141
30514.0,70
30670.0,108
30829.0,67
30989.0,76
30998.0,76
30992.0,107
31046.0,84
30776.0,110
30956.0,80
31220.0,91
30906.0,143
31239.0,67
31498.0,68
31199.0,72
31427.0,107
31482.0,72
31165.0,84
31549.0,143
31742.0,75
31817.0,73
31794.0,70
31813.0,117
35303.0,80
35754.0,107
35742.0,91
35741.0,110
35303.0,72
32426.0,110
32453.0,108
35823.0,80
32449.0,72
32560.0,84
32584.0,74
32409.0,141
32951.0,115
32997.0,73
32740.0,72
32536.0,96
33107.0,89
32954.0,107
33186.0,91
33412.0,107
33985.0,67
33663.0,84
33825.0,67
33975.0,107
33933.0,90
34339.0,68
34266.0,67
34523.0,80
34742.0,141
34850.0,104
34902.0,107
35039.0,110
34849.0,107
34679.0,72
35223.0,74
35712.0,91
39481.0,110
36036.0,143
38926.0,67
39479.0,108
36427.0,80
36870.0,143
36988.0,70
37456.0,84
37658.0,110
37730.0,142
37714.0,72
37740.0,80
37598.0,110
38402.0,91
38019.0,67
38323.0,107
38575.0,107
38208.0,70
38853.0,80
38642.0,68
38474.0,143
39107.0,107
39270.0,108
43058.0,80
42801.0,67
39798.0,67
40496.0,116
40781.0,80
40944.0,70
40868.0,80
41030.0,145
41631.0,68
41623.0,74
42652.0,74
46610.0,67
46134.0,107
46564.0,67
46752.0,91
43269.0,80
46709.0,80
43202.0,70
43722.0,84
43412.0,107
43853.0,96
43888.0,107
44249.0,143
43986.0,116
44182.0,115
44852.0,88
45139.0,80
45468.0,110
45679.0,95
45493.0,80
45735.0,105
45275.0,80
46333.0,87
46029.0,105
45521.0,91
49751.0,74
50095.0,95
50032.0,88
47168.0,110
47037.0,75
47124.0,67
47710.0,141
47697.0,96
47856.0,88
47604.0,107
48440.0,91
48334.0,67
48204.0,91
48667.0,95
48855.0,105
49468.0,73
49118.0,95
49157.0,84
49340.0,96
48912.0,67
49929.0,84
49848.0,76
53536.0,88
53800.0,76
50648.0,67
50829.0,96
50683.0,88
50751.0,74
50801.0,80
51217.0,76
51781.0,107
51842.0,107
51691.0,107
52058.0,74
52900.0,80
52366.0,108
52822.0,108
57317.0,117
54076.0,67
57557.0,80
54441.0,67
54591.0,96
54881.0,68
55372.0,108
55948.0,68
56285.0,74
56782.0,89
56491.0,104
57207.0,96
57607.0,84
57670.0,80
57749.0,90
57851.0,76
57780.0,67
58268.0,75
58593.0,76
59075.0,89
58457.0,89
59160.0,80
59146.0,96
59809.0,105
59896.0,116
60363.0,75
60426.0,76
60000.0,74
60216.0,88
64579.0,141
64705.0,115
61265.0,104
64698.0,68
64722.0,104
64421.0,115
61495.0,74
61506.0,90
61567.0,74
61389.0,67
61544.0,143
61813.0,76
64574.0,142
61573.0,89
62040.0,90
62053.0,104
61803.0,74
62243.0,91
62056.0,115
62199.0,76
61928.0,72
62617.0,104
62291.0,90
62553.0,107
62630.0,105
62666.0,74
62436.0,76
62577.0,95
62776.0,95
62554.0,115
62728.0,67
63160.0,67
62860.0,143
63011.0,67
63121.0,88
63199.0,143
63881.0,90
63587.0,67
63845.0,74
63820.0,75
63715.0,95
63599.0,74
64168.0,73
64276.0,80
64348.0,68
67520.0,80
67586.0,89
68154.0,68
68325.0,107
64892.0,90
64852.0,110
68064.0,73
68362.0,67
65518.0,67
65452.0,75
65237.0,105
65633.0,95
65990.0,90
65778.0,116
65832.0,75
66095.0,95
65946.0,72
66544.0,91
66166.0,88
66394.0,91
66797.0,95
66871.0,91
66954.0,84
67140.0,67
67450.0,115
67780.0,96
67839.0,87
67705.0,88
67788.0,67
68149.0,88
68114.0,116
71684.0,68
71675.0,90
71966.0,104
71906.0,88
71971.0,68
68496.0,110
68645.0,68
68844.0,107
68704.0,104
68739.0,105
68813.0,76
68808.0,105
69019.0,88
69376.0,107
69339.0,96
68838.0,110
69662.0,87
69992.0,118
69634.0,97
69971.0,87
70042.0,115
70634.0,74
70809.0,95
71441.0,91
71580.0,73
72207.0,87
72362.0,68
72741.0,89
72835.0,80
73263.0,80
73389.0,88
74372.0,75
73872.0,74
74310.0,97
74204.0,74
74654.0,88
74726.0,95
75213.0,90
78765.0,105
78980.0,68
75789.0,76
76548.0,117
77115.0,75
77897.0,67
77937.0,68
79638.0,88
80081.0,116
80321.0,88
80422.0,88
80417.0,84
81129.0,84
81106.0,95
81913.0,88
82028.0,75
82202.0,116
84087.0,91
84187.0,96
83138.0,88
84292.0,110
83650.0,118
85306.0,68
85701.0,67
86017.0,76
-1,-1
3481.0,107
1682.0,87
2042.0,91
2727.0,90
3372.0,76
5973.0,118
7120.0,72
6741.0,74
7545.0,75
9099.0,116
19253.0,73
22538.0,76
22640.0,76
24027.0,74
24305.0,74
24026.0,115
24877.0,70
24281.0,91
27987.0,91
25659.0,140
25918.0,76
26299.0,74
26294.0,74
26659.0,108
26820.0,80
27203.0,67
27024.0,107
27415.0,107
27414.0,72
27685.0,76
28182.0,80
27750.0,107
28307.0,67
28042.0,141
27945.0,110
28058.0,105
27965.0,91
31649.0,80
32175.0,76
32302.0,118
28869.0,72
29121.0,107
28896.0,97
29301.0,110
29754.0,104
29830.0,107
28909.0,108
30042.0,67
29939.0,67
30014.0,68
29817.0,107
29919.0,75
30185.0,70
30399.0,76
29449.0,108
30380.0,73
30584.0,67
30103.0,70
30183.0,84
30539.0,107
30737.0,76
31033.0,76
31040.0,76
30879.0,91
31032.0,80
31208.0,76
31060.0,80
31124.0,115
31272.0,80
31669.0,107
31298.0,108
31789.0,67
31720.0,72
31645.0,117
31554.0,107
31767.0,72
31735.0,73
31753.0,80
31812.0,117
32012.0,80
31851.0,84
31554.0,72
31266.0,75
31944.0,110
35740.0,76
35764.0,91
34893.0,116
35646.0,72
35940.0,73
35918.0,107
35937.0,91
35976.0,80
32538.0,117
32501.0,73
32540.0,117
32592.0,84
32644.0,76
32664.0,76
32555.0,80
32715.0,74
32730.0,91
32793.0,89
32754.0,107
32681.0,84
32992.0,80
33171.0,75
33586.0,80
33773.0,116
33489.0,91
33993.0,74
33764.0,89
34108.0,91
33776.0,67
33559.0,143
34191.0,107
34369.0,84
34262.0,107
34415.0,107
34440.0,80
34622.0,68
34572.0,110
34794.0,67
34731.0,80
34995.0,89
35084.0,104
35105.0,80
35137.0,107
35001.0,72
35185.0,80
35249.0,80
35157.0,67
35139.0,141
35428.0,110
39190.0,74
36076.0,72
39475.0,67
36324.0,91
36147.0,116
36320.0,110
36294.0,141
36457.0,96
36579.0,107
36854.0,142
37694.0,108
38102.0,108
38290.0,75
38219.0,90
38592.0,143
38757.0,75
38699.0,104
38934.0,80
38323.0,70
39098.0,104
39435.0,80
43043.0,67
42901.0,80
39665.0,143
39756.0,76
42945.0,107
39894.0,80
39917.0,95
39963.0,110
40874.0,91
40979.0,68
41225.0,67
41608.0,68
41803.0,80
41762.0,68
41327.0,90
40968.0,76
41661.0,107
42154.0,105
41895.0,143
42471.0,96
42340.0,107
42218.0,107
42867.0,67
42699.0,87
46148.0,74
46634.0,68
46653.0,87
46300.0,74
46565.0,91
46477.0,115
43318.0,67
43865.0,110
44008.0,118
43973.0,107
44085.0,67
44529.0,87
44762.0,67
44706.0,107
44763.0,87
44918.0,107
45206.0,68
45319.0,105
45048.0,110
45620.0,74
45243.0,80
45673.0,107
46015.0,70
46305.0,107
46446.0,110
45621.0,84
46915.0,68
47052.0,91
47266.0,87
47414.0,70
47561.0,68
47236.0,105
48064.0,96
47801.0,95
47694.0,80
47024.0,140
47712.0,108
48211.0,87
48181.0,67
48157.0,90
48214.0,74
47996.0,67
48129.0,105
49837.0,141
47867.0,88
48792.0,87
48718.0,68
48958.0,95
49208.0,87
49289.0,88
50016.0,68
50417.0,108
51421.0,74
51295.0,107
51774.0,72
51603.0,107
52074.0,107
52383.0,70
52408.0,72
52350.0,107
52490.0,72
52154.0,74
52700.0,84
52998.0,67
52923.0,108
53537.0,67
53702.0,67
57481.0,80
57053.0,108
57366.0,96
54759.0,84
57480.0,105
54158.0,118
54529.0,73
55179.0,90
55195.0,80
54772.0,104
55231.0,96
55516.0,72
55944.0,68
54897.0,67
55985.0,67
56091.0,84
56242.0,118
56537.0,75
56775.0,74
56258.0,108
56150.0,115
57146.0,84
56837.0,104
57007.0,80
57300.0,89
61041.0,87
61029.0,89
61168.0,67
57709.0,80
57953.0,67
60768.0,70
57693.0,80
57853.0,67
58791.0,96
58523.0,96
58283.0,142
58695.0,117
58285.0,105
58984.0,74
58886.0,95
58580.0,88
59457.0,75
59182.0,67
59620.0,67
59666.0,107
59587.0,84
59426.0,88
59823.0,95
59793.0,68
59635.0,88
59406.0,84
60326.0,89
59685.0,72
60297.0,68
60342.0,68
60537.0,95
60807.0,76
60952.0,107
63200.0,142
64364.0,95
64596.0,80
64163.0,89
64525.0,95
64455.0,90
63939.0,87
61205.0,67
61329.0,75
61316.0,90
