stoptime,end station id
324.0,118
3668.0,95
5263.0,68
22823.0,116
23047.0,67
24452.0,80
25527.0,72
26164.0,91
27884.0,108
27696.0,74
28443.0,141
28291.0,108
31810.0,108
32212.0,107
31589.0,96
29059.0,67
29434.0,80
29216.0,117
29476.0,74
32224.0,67
29853.0,70
29885.0,107
29775.0,84
30010.0,110
30248.0,76
30474.0,107
30449.0,76
30440.0,80
30222.0,80
30846.0,76
30860.0,76
30261.0,141
30901.0,110
30926.0,73
30946.0,73
31394.0,75
30823.0,84
31308.0,107
31270.0,67
31440.0,143
31616.0,68
31642.0,80
31826.0,91
31681.0,74
35494.0,67
35769.0,107
35488.0,107
35808.0,72
32494.0,107
35833.0,107
35166.0,80
32438.0,80
32616.0,90
32764.0,117
32530.0,96
32880.0,70
32959.0,73
35564.0,72
32999.0,74
33030.0,80
33447.0,84
33436.0,107
34233.0,141
34481.0,84
34026.0,90
33711.0,107
34502.0,89
34220.0,91
34606.0,104
34694.0,84
34470.0,141
34522.0,107
34712.0,68
34453.0,74
34760.0,67
34388.0,141
34933.0,107
35440.0,107
39232.0,72
39566.0,107
36021.0,110
36317.0,67
36345.0,70
39517.0,143
36117.0,80
36747.0,91
36770.0,75
37145.0,142
37584.0,107
37567.0,72
37706.0,80
38266.0,96
38620.0,91
38108.0,118
38829.0,67
38656.0,67
43106.0,74
42852.0,80
39863.0,67
39734.0,108
40464.0,75
40696.0,80
41325.0,76
41452.0,88
42418.0,107
42522.0,80
42652.0,110
42619.0,89
46470.0,110
43761.0,74
43647.0,110
44167.0,76
43347.0,90
44629.0,68
44755.0,70
44668.0,107
44867.0,80
45422.0,76
46241.0,80
46288.0,67
46071.0,67
49765.0,80
50260.0,80
47224.0,104
47211.0,90
47772.0,141
48513.0,88
47391.0,90
48987.0,67
49238.0,110
49445.0,110
49247.0,95
49864.0,96
53878.0,105
50523.0,105
50992.0,88
50763.0,141
51489.0,84
52164.0,67
52287.0,70
52107.0,72
52649.0,76
52535.0,95
52751.0,70
52648.0,67
52688.0,96
52875.0,76
53373.0,96
53461.0,72
53198.0,87
56522.0,108
57344.0,87
57336.0,110
54479.0,67
54717.0,84
56155.0,67
56180.0,67
56606.0,72
56413.0,68
57173.0,96
57705.0,67
61007.0,116
58062.0,90
58257.0,68
57962.0,87
58518.0,72
58916.0,75
58861.0,105
59392.0,89
58963.0,75
60004.0,75
59997.0,107
59959.0,67
64401.0,88
64721.0,88
64539.0,89
64703.0,88
64744.0,67
61684.0,87
61593.0,116
61759.0,115
61811.0,116
61352.0,116
62239.0,91
62118.0,115
62019.0,75
61561.0,145
62538.0,68
62670.0,91
62247.0,68
61914.0,115
62513.0,90
63037.0,107
63208.0,95
63201.0,104
63310.0,88
63370.0,67
63611.0,89
63372.0,91
63560.0,95
63625.0,76
63794.0,116
64372.0,116
64062.0,67
67944.0,76
68022.0,76
68024.0,105
67743.0,74
68216.0,74
68323.0,88
65199.0,143
64889.0,96
65495.0,90
68278.0,145
65674.0,68
65685.0,76
66025.0,67
66190.0,95
66256.0,73
66256.0,68
66300.0,91
66833.0,105
67572.0,67
67712.0,107
67383.0,87
71721.0,87
71749.0,104
71823.0,95
71888.0,110
68636.0,107
68809.0,67
68883.0,68
68986.0,91
69143.0,116
69553.0,88
69771.0,67
69690.0,75
69837.0,96
69247.0,84
70264.0,76
70515.0,67
70674.0,96
70680.0,105
70981.0,118
71142.0,91
71054.0,140
71320.0,88
75244.0,68
75116.0,105
72277.0,110
75584.0,95
72205.0,96
72223.0,105
72040.0,105
72669.0,68
72604.0,95
72989.0,96
73442.0,95
73746.0,95
73728.0,88
74440.0,110
78527.0,110
75788.0,110
76094.0,74
76226.0,68
76502.0,76
76608.0,80
76096.0,108
76871.0,88
77703.0,107
77148.0,110
78752.0,67
78748.0,95
82403.0,88
79289.0,68
79656.0,88
79917.0,75
80796.0,87
80793.0,76
80758.0,88
81983.0,67
81650.0,90
82927.0,116
86105.0,74
83786.0,76
84255.0,90
84353.0,74
-1,-1
3557.0,91
1457.0,87
11312.0,68
11109.0,73
12670.0,118
13202.0,95
25118.0,70
21841.0,116
22142.0,70
23073.0,70
23678.0,67
24470.0,74
27984.0,91
26052.0,107
25934.0,80
26537.0,72
26796.0,107
27026.0,108
28243.0,75
27490.0,107
27236.0,80
27660.0,141
27923.0,76
28156.0,90
27787.0,74
27708.0,91
27765.0,72
28081.0,80
28503.0,141
28405.0,70
31723.0,108
31797.0,70
32004.0,104
28843.0,80
31577.0,80
28992.0,107
32100.0,107
32275.0,72
28914.0,141
28903.0,67
29284.0,67
29344.0,91
32366.0,143
29828.0,80
29753.0,73
30032.0,107
29790.0,90
30251.0,90
30264.0,107
30277.0,76
30314.0,76
30024.0,75
30127.0,107
30029.0,84
30402.0,80
30329.0,110
30349.0,68
30483.0,68
30937.0,96
30987.0,76
30974.0,76
30950.0,73
29827.0,67
30692.0,97
30792.0,80
30329.0,80
30357.0,107
30877.0,143
30704.0,117
30963.0,67
31243.0,117
31217.0,87
31180.0,104
30844.0,104
31417.0,76
31341.0,72
31209.0,72
31630.0,76
31525.0,117
31487.0,91
31789.0,115
31726.0,108
31894.0,68
31797.0,110
31934.0,107
31951.0,107
31986.0,76
31931.0,117
31977.0,89
35754.0,76
35875.0,107
35386.0,87
35613.0,107
35181.0,84
35770.0,108
35822.0,91
35449.0,84
35736.0,84
35708.0,80
35919.0,117
35859.0,107
35671.0,74
32541.0,67
32516.0,73
32636.0,90
32664.0,67
32814.0,108
35991.0,80
32508.0,72
35554.0,75
32807.0,84
32650.0,67
32751.0,68
32753.0,91
32823.0,80
32948.0,91
33055.0,72
33118.0,80
33737.0,97
35506.0,116
33071.0,67
33011.0,91
32999.0,67
33321.0,107
33492.0,74
33801.0,141
33775.0,110
33529.0,80
33956.0,76
34079.0,108
33616.0,72
33807.0,97
34110.0,110
34315.0,80
34699.0,80
34371.0,90
34531.0,80
34702.0,67
33608.0,67
34508.0,74
34887.0,110
34478.0,91
34732.0,80
35074.0,91
34766.0,80
35096.0,67
34995.0,107
35128.0,91
34638.0,143
35222.0,72
34737.0,141
35463.0,107
35607.0,70
39053.0,107
39209.0,107
39372.0,74
38204.0,80
39490.0,67
39290.0,75
36025.0,143
39457.0,91
36019.0,70
