stoptime,end station id
3309.0,53
3286.0,41
2928.0,76
3405.0,54
3392.0,50
3159.0,8
3383.0,50
3083.0,72
94.0,114
3329.0,91
3593.0,49
39.0,116
18.0,133
3336.0,16
3153.0,78
2776.0,120
5.0,4
470.0,139
2616.0,120
89.0,110
587.0,58
559.0,52
2523.0,13
3424.0,40
990.0,27
3422.0,40
241.0,26
511.0,68
416.0,5
798.0,45
903.0,13
1291.0,85
1190.0,68
1062.0,91
1360.0,53
1434.0,91
1466.0,91
1077.0,55
1728.0,32
676.0,74
1763.0,53
1054.0,130
1093.0,130
1053.0,130
1049.0,130
2352.0,54
1976.0,78
2212.0,121
2618.0,71
2308.0,139
1130.0,9
3059.0,99
2750.0,75
2283.0,66
3083.0,100
2626.0,30
6263.0,134
6158.0,68
7167.0,17
3853.0,91
3930.0,81
4039.0,75
6939.0,129
4485.0,67
4036.0,21
3943.0,8
3914.0,22
3893.0,33
4687.0,63
4652.0,63
7128.0,100
4387.0,97
3654.0,41
5040.0,138
5346.0,75
5965.0,9
5012.0,109
7664.0,53
7877.0,122
7891.0,122
9108.0,80
8819.0,82
12315.0,6
13642.0,6
11026.0,115
11130.0,50
11971.0,54
12117.0,46
12560.0,71
12978.0,4
17463.0,114
17337.0,11
16772.0,121
18063.0,13
21421.0,6
18063.0,22
18372.0,21
18539.0,36
18616.0,61
18724.0,67
19195.0,32
18934.0,22
19578.0,58
19471.0,80
18439.0,48
19039.0,72
19582.0,75
19628.0,50
19626.0,13
20348.0,100
20416.0,15
20473.0,42
19986.0,48
20744.0,88
20636.0,49
21014.0,107
19952.0,23
20805.0,9
20303.0,65
20888.0,54
21270.0,6
21157.0,14
21324.0,16
25040.0,70
25116.0,22
24965.0,134
24980.0,134
25167.0,5
25036.0,60
24743.0,61
24654.0,11
24812.0,63
21832.0,7
25195.0,14
25151.0,69
24101.0,41
21942.0,150
22073.0,71
21619.0,24
21603.0,32
21909.0,5
22118.0,11
25152.0,21
21907.0,86
22351.0,22
22634.0,100
22336.0,48
22598.0,67
22652.0,16
22337.0,22
22533.0,40
22532.0,48
22170.0,12
22490.0,91
22528.0,141
22886.0,36
22664.0,61
22920.0,50
22516.0,64
22639.0,11
23284.0,13
22946.0,48
22715.0,11
23455.0,43
23139.0,24
23367.0,42
23056.0,107
22519.0,61
23707.0,65
23468.0,30
22923.0,73
23043.0,73
23499.0,64
23748.0,16
23321.0,84
23297.0,52
22990.0,30
23822.0,48
23580.0,67
23614.0,60
23225.0,14
23846.0,39
23464.0,87
23236.0,67
23695.0,23
23848.0,50
24053.0,109
23941.0,11
23285.0,74
23713.0,23
23834.0,7
23542.0,22
23459.0,134
23826.0,35
23934.0,22
24015.0,109
23580.0,11
24014.0,13
24096.0,106
24228.0,74
23495.0,33
24326.0,48
24043.0,135
24086.0,42
24382.0,20
24051.0,13
24439.0,100
23920.0,11
24442.0,100
24471.0,39
23172.0,70
24444.0,43
24317.0,13
24442.0,81
24421.0,100
24207.0,21
24630.0,64
24320.0,61
23840.0,46
24266.0,73
24589.0,151
24610.0,12
24574.0,7
24400.0,72
24301.0,59
23579.0,20
24199.0,107
23864.0,91
24692.0,17
24427.0,38
24372.0,56
24433.0,80
24517.0,81
24520.0,64
24340.0,23
23996.0,44
24737.0,150
24590.0,44
23916.0,35
23819.0,6
24030.0,98
24444.0,35
24550.0,80
24763.0,35
22620.0,141
24724.0,52
23876.0,151
24760.0,59
24678.0,11
28051.0,48
28378.0,64
28560.0,35
28234.0,7
27639.0,61
27707.0,75
28476.0,75
28650.0,48
28508.0,19
27908.0,3
28533.0,47
28415.0,31
28108.0,136
28456.0,24
28454.0,24
28681.0,107
28049.0,11
28599.0,97
28597.0,48
28299.0,138
25265.0,151
28187.0,7
27247.0,87
25218.0,43
28772.0,81
25294.0,55
28779.0,35
25235.0,64
28516.0,64
28442.0,64
28180.0,120
25312.0,16
28782.0,91
28456.0,49
28683.0,31
28610.0,72
25397.0,45
25432.0,65
28692.0,6
28386.0,143
25395.0,35
28500.0,54
25271.0,15
27812.0,91
25315.0,15
25597.0,52
25285.0,72
28460.0,11
25589.0,81
25233.0,149
25478.0,64
28414.0,72
27996.0,6
25665.0,134
27986.0,21
25238.0,6
25409.0,48
25270.0,7
28765.0,7
25640.0,14
25337.0,80
25293.0,75
25715.0,49
28137.0,43
25538.0,21
25364.0,47
25664.0,43
28740.0,53
25258.0,61
25807.0,31
28765.0,50
25946.0,42
25482.0,48
25685.0,31
25818.0,21
25224.0,22
25629.0,61
25369.0,81
27799.0,98
25986.0,16
25679.0,17
28705.0,53
25296.0,31
25297.0,40
26017.0,100
26032.0,43
25400.0,7
25945.0,33
25865.0,35
25856.0,35
25700.0,64
25857.0,99
28508.0,36
25355.0,8
25847.0,48
26112.0,48
25899.0,78
25771.0,22
26139.0,16
26195.0,67
25875.0,22
26075.0,80
26166.0,38
25445.0,78
25494.0,14
25724.0,91
26314.0,120
26160.0,48
25754.0,60
25906.0,42
25847.0,7
25700.0,14
26082.0,16
26203.0,22
25706.0,61
26304.0,23
26298.0,11
26087.0,50
25837.0,63
25227.0,125
26375.0,21
26473.0,16
26521.0,42
26294.0,67
26236.0,136
26059.0,22
26372.0,125
25772.0,81
26216.0,120
26511.0,39
26398.0,53
26212.0,50
26334.0,38
26211.0,134
26674.0,76
26692.0,100
26753.0,100
26740.0,22
25257.0,48
26461.0,90
25975.0,36
26589.0,59
25901.0,50
26408.0,27
26676.0,68
26507.0,151
26493.0,22
26164.0,68
26717.0,48
26373.0,36
26380.0,61
26306.0,74
26353.0,16
26377.0,42
26517.0,14
26142.0,131
26448.0,67
26845.0,23
26632.0,67
26768.0,35
26891.0,108
26592.0,141
25811.0,31
26791.0,80
26774.0,80
25725.0,4
26913.0,22
26949.0,59
26991.0,50
26435.0,61
26686.0,67
26406.0,103
26512.0,64
26924.0,16
27042.0,115
26920.0,22
27044.0,48
26863.0,97
27244.0,59
26866.0,60
25266.0,65
26228.0,67
26774.0,58
27184.0,64
27293.0,57
27085.0,15
27379.0,4
27248.0,54
27299.0,68
26566.0,31
27217.0,31
27117.0,97
26574.0,10
27243.0,109
27288.0,57
26859.0,117
27257.0,59
27246.0,35
26883.0,50
27015.0,74
26776.0,3
26445.0,61
26844.0,72
26642.0,30
26683.0,108
26846.0,60
26780.0,84
26701.0,108
26815.0,57
26699.0,90
26419.0,110
27267.0,64
26990.0,67
26587.0,67
26701.0,90
