stoptime,end station id
427.0,96
828.0,12
995.0,60
2501.0,43
2694.0,109
3747.0,88
6765.0,88
6870.0,131
6854.0,51
4348.0,109
5697.0,117
5642.0,53
8316.0,12
9761.0,77
13798.0,3
16441.0,11
17250.0,22
19963.0,58
20234.0,116
20271.0,50
20397.0,48
20366.0,15
20332.0,21
20654.0,48
20981.0,134
24944.0,80
21666.0,16
25081.0,54
24849.0,54
24783.0,70
22039.0,59
22394.0,67
22530.0,70
22313.0,80
22856.0,13
22883.0,129
22753.0,9
23379.0,14
23422.0,61
22988.0,9
23639.0,50
23941.0,35
24034.0,13
24182.0,39
23862.0,70
23442.0,122
24134.0,11
24223.0,75
24645.0,68
24476.0,31
23731.0,11
24664.0,13
24842.0,35
28148.0,7
28268.0,80
28580.0,64
28661.0,64
28704.0,33
28774.0,53
25626.0,88
25414.0,72
28570.0,143
25949.0,26
25839.0,59
26070.0,7
25280.0,107
26001.0,14
26423.0,109
26349.0,43
25670.0,14
26320.0,11
28207.0,29
26079.0,64
26363.0,35
26511.0,21
26621.0,57
26240.0,14
26376.0,22
26489.0,13
26509.0,54
26676.0,91
26754.0,22
26265.0,16
26892.0,31
27096.0,76
26996.0,20
27116.0,67
26051.0,72
26325.0,11
27282.0,55
26979.0,3
27035.0,22
27274.0,115
27157.0,36
26401.0,36
26877.0,60
27405.0,84
26772.0,141
27493.0,108
27240.0,22
27049.0,31
26170.0,116
27600.0,125
27673.0,56
27589.0,22
27068.0,74
27693.0,22
27692.0,58
27637.0,117
27811.0,23
27746.0,50
27227.0,72
27848.0,104
27689.0,21
27922.0,36
28139.0,5
27878.0,22
27774.0,13
27872.0,22
28164.0,50
27957.0,150
28050.0,64
28165.0,60
28526.0,35
28369.0,6
27362.0,11
28432.0,40
27867.0,74
31871.0,11
31713.0,67
32360.0,143
31529.0,22
31876.0,14
32330.0,32
32018.0,108
32124.0,64
31307.0,22
31766.0,134
31903.0,22
31931.0,48
32109.0,64
28987.0,100
32248.0,69
32022.0,24
28932.0,64
28838.0,80
32275.0,7
32251.0,7
29046.0,22
30955.0,13
28868.0,21
29356.0,16
31693.0,49
29251.0,22
29409.0,76
28842.0,80
32329.0,61
28875.0,33
31882.0,11
29265.0,27
29127.0,14
29214.0,135
29595.0,23
29483.0,50
29290.0,48
29634.0,23
29677.0,42
29308.0,136
29119.0,6
29729.0,35
29343.0,20
29302.0,74
32147.0,22
29500.0,22
28954.0,143
29240.0,109
29334.0,33
29802.0,50
29766.0,59
29481.0,14
29621.0,60
30021.0,16
29524.0,14
29980.0,35
29979.0,35
29963.0,43
29829.0,93
30358.0,100
29566.0,84
29796.0,117
29773.0,72
30123.0,122
30170.0,17
30528.0,100
30440.0,61
30173.0,72
30461.0,43
30248.0,14
29964.0,43
30372.0,22
30516.0,74
31387.0,47
30616.0,42
30848.0,131
30161.0,84
32161.0,135
30819.0,46
30636.0,17
30480.0,9
30907.0,55
30577.0,73
30765.0,64
30844.0,72
30367.0,80
30823.0,143
31127.0,36
30995.0,91
30294.0,135
31240.0,74
30787.0,67
30611.0,52
31382.0,100
31056.0,6
30995.0,64
30641.0,72
30783.0,60
31103.0,48
30970.0,54
31148.0,53
31137.0,68
31322.0,40
31154.0,45
30960.0,141
31371.0,90
31430.0,48
31562.0,25
31366.0,90
30691.0,22
30917.0,14
31427.0,72
31001.0,80
30280.0,24
31629.0,134
31467.0,140
31778.0,67
31966.0,100
31945.0,67
31353.0,72
31742.0,17
31804.0,104
32111.0,143
31575.0,91
31981.0,21
35629.0,151
35561.0,68
35750.0,151
35255.0,29
35885.0,48
35632.0,107
35331.0,138
35558.0,72
32438.0,133
35808.0,68
35920.0,75
35835.0,40
32469.0,16
35700.0,80
35825.0,21
35799.0,64
35526.0,20
35407.0,72
32862.0,100
35615.0,33
35859.0,74
35518.0,142
35548.0,10
32759.0,90
33028.0,98
33094.0,22
35893.0,84
33077.0,70
33157.0,33
35908.0,143
32664.0,67
33291.0,58
33079.0,14
33396.0,67
33429.0,81
33352.0,134
33355.0,16
33112.0,11
32817.0,96
32508.0,86
33700.0,75
33433.0,80
33778.0,63
32937.0,60
33241.0,72
33726.0,22
33835.0,108
33727.0,108
33449.0,14
33616.0,80
33385.0,22
33995.0,89
34046.0,80
33781.0,47
34059.0,22
34067.0,90
34064.0,80
34347.0,40
33952.0,67
34123.0,80
33702.0,107
34189.0,68
34318.0,67
33813.0,80
33728.0,91
34392.0,141
33928.0,91
33904.0,48
34048.0,91
33759.0,31
34651.0,6
34626.0,107
34465.0,17
34731.0,45
34673.0,64
34624.0,42
34908.0,13
34310.0,90
34426.0,60
34937.0,67
34762.0,150
34604.0,36
34936.0,36
35071.0,48
34696.0,134
34968.0,80
34851.0,32
34600.0,99
35271.0,7
35126.0,104
35448.0,100
35244.0,110
35417.0,14
35493.0,12
35183.0,107
34899.0,50
35181.0,52
34768.0,107
34905.0,30
34299.0,15
35533.0,149
34082.0,23
35570.0,91
35385.0,22
35769.0,38
35322.0,73
35397.0,50
39410.0,98
38886.0,11
39230.0,72
39482.0,81
38596.0,143
38595.0,143
36043.0,42
39368.0,91
36130.0,91
38764.0,46
38545.0,85
36120.0,72
38793.0,80
36687.0,20
36492.0,9
36323.0,72
36526.0,31
36582.0,74
36763.0,80
36686.0,94
36685.0,94
36164.0,76
36608.0,22
36960.0,76
36880.0,60
39249.0,72
37009.0,107
37236.0,76
37002.0,19
37214.0,64
37287.0,143
37649.0,54
37320.0,80
37164.0,3
36585.0,80
37461.0,75
37403.0,67
37467.0,75
37682.0,55
36586.0,138
37525.0,109
37826.0,13
38054.0,100
38016.0,17
37983.0,107
38124.0,27
38241.0,78
36939.0,14
38385.0,35
37799.0,72
38075.0,107
37944.0,104
38241.0,76
37274.0,107
38397.0,67
38070.0,36
38271.0,67
38979.0,67
38704.0,9
39117.0,116
39174.0,60
39249.0,76
38977.0,85
38952.0,107
42930.0,107
42877.0,89
42716.0,22
39730.0,133
42454.0,22
43183.0,12
42750.0,43
40349.0,105
40398.0,91
40508.0,45
40648.0,139
40363.0,47
40322.0,32
39974.0,6
40513.0,36
40937.0,67
41131.0,74
41033.0,87
40791.0,110
41358.0,91
41516.0,151
41556.0,61
41251.0,30
41584.0,68
41295.0,151
41390.0,75
40933.0,14
42056.0,9
41673.0,94
41831.0,50
41974.0,11
42065.0,72
42232.0,33
42293.0,75
42177.0,105
42603.0,47
42170.0,90
41898.0,74
42587.0,143
42605.0,143
42794.0,139
42445.0,32
42805.0,151
42575.0,85
42642.0,80
46633.0,54
46686.0,35
45733.0,71
46346.0,63
43370.0,134
43269.0,120
43309.0,68
43431.0,10
43204.0,45
46767.0,35
43208.0,49
43257.0,57
43283.0,57
43378.0,130
46710.0,73
43586.0,95
43668.0,107
43419.0,17
43653.0,81
43760.0,104
43683.0,45
43748.0,59
46625.0,21
43965.0,53
43627.0,137
43319.0,121
43739.0,116
43867.0,13
