starttime,start station id
427.0,88
828.0,5
995.0,41
2501.0,22
2694.0,22
3165.0,36
3254.0,51
3270.0,12
3747.0,96
4348.0,4
5642.0,14
5697.0,67
8316.0,53
9761.0,67
13798.0,30
16441.0,32
17250.0,13
19963.0,4
20234.0,139
20271.0,53
20332.0,76
20366.0,66
20397.0,60
20654.0,6
20981.0,60
21183.0,114
21249.0,98
21344.0,84
21481.0,26
21666.0,46
22039.0,50
22313.0,69
22394.0,53
22530.0,89
22753.0,88
22856.0,46
22883.0,109
22988.0,19
23379.0,32
23422.0,53
23442.0,109
23639.0,51
23731.0,38
23862.0,66
23941.0,120
24034.0,57
24134.0,57
24182.0,57
24223.0,36
24476.0,121
24548.0,47
24607.0,115
24645.0,95
24664.0,12
24668.0,96
24842.0,109
24970.0,89
24980.0,109
25061.0,109
25104.0,9
25174.0,50
25280.0,140
25414.0,116
25626.0,77
25670.0,16
25839.0,25
25949.0,39
26001.0,52
26051.0,103
26070.0,20
26079.0,109
26170.0,39
26240.0,69
26265.0,109
26320.0,122
26325.0,97
26349.0,22
26363.0,120
26376.0,20
26401.0,77
26423.0,6
26489.0,16
26509.0,16
26511.0,16
26621.0,25
26676.0,90
26754.0,40
26772.0,141
26877.0,78
26892.0,48
26979.0,105
26996.0,109
27035.0,40
27049.0,58
27068.0,41
27096.0,116
27116.0,53
27157.0,39
27227.0,99
27240.0,121
27274.0,71
27282.0,16
27355.0,13
27362.0,109
27405.0,94
27493.0,115
27589.0,26
27600.0,123
27637.0,94
27673.0,51
27689.0,63
27692.0,22
27693.0,58
27707.0,9
27746.0,60
27774.0,22
27811.0,22
27848.0,96
27867.0,33
27872.0,26
27878.0,50
27922.0,120
27929.0,45
27957.0,20
28050.0,109
28093.0,133
28113.0,25
28139.0,45
28164.0,25
28165.0,47
28166.0,69
28271.0,103
28276.0,103
28282.0,109
28303.0,51
28331.0,134
28369.0,81
28418.0,76
28422.0,109
28432.0,22
28509.0,109
28524.0,47
28526.0,22
28547.0,8
28561.0,86
28648.0,82
28651.0,26
28675.0,4
28729.0,88
28730.0,11
28760.0,90
28838.0,46
28842.0,16
28868.0,68
28875.0,87
28932.0,20
28954.0,115
28987.0,114
29046.0,47
29119.0,95
29127.0,103
29214.0,22
29240.0,22
29251.0,24
29265.0,3
29290.0,121
29302.0,77
29308.0,63
29334.0,113
29343.0,135
29356.0,25
29409.0,88
29481.0,66
29483.0,60
29500.0,25
29524.0,25
29566.0,16
29595.0,38
29621.0,94
29634.0,22
29677.0,22
29729.0,40
29766.0,109
29773.0,47
29796.0,94
29802.0,22
29829.0,130
29963.0,38
29964.0,52
29979.0,4
29980.0,4
30021.0,25
30123.0,57
30161.0,116
30170.0,74
30173.0,88
30248.0,86
30280.0,41
30294.0,57
30358.0,114
30367.0,33
30372.0,38
30440.0,33
30461.0,22
30480.0,75
30516.0,17
30528.0,118
30577.0,71
30611.0,41
30616.0,44
30636.0,17
30641.0,74
30691.0,109
30765.0,81
30783.0,96
30787.0,16
30819.0,45
30823.0,38
30844.0,6
30848.0,125
30907.0,46
30917.0,4
30960.0,45
30970.0,52
30995.0,76
30995.0,47
31001.0,77
31056.0,84
31103.0,31
31127.0,55
31137.0,9
31148.0,120
31154.0,25
31240.0,96
31322.0,22
31353.0,59
31366.0,91
31371.0,38
31382.0,118
31427.0,75
31430.0,109
31467.0,112
31562.0,16
31575.0,99
31629.0,26
31655.0,69
31731.0,57
31742.0,76
31778.0,55
31804.0,110
31807.0,99
31918.0,90
31926.0,119
31945.0,53
31948.0,125
31950.0,59
31958.0,96
31961.0,91
31966.0,118
31981.0,13
32015.0,95
32029.0,109
32032.0,53
32100.0,105
32111.0,90
32150.0,109
32199.0,109
32208.0,105
32225.0,5
32235.0,109
32259.0,53
32285.0,22
32293.0,105
32308.0,96
32320.0,116
32438.0,123
32469.0,21
32508.0,16
32664.0,104
32759.0,6
32817.0,60
32862.0,114
32937.0,77
33028.0,143
33077.0,105
33079.0,105
33094.0,81
33112.0,12
33157.0,9
33241.0,5
33291.0,61
33352.0,45
33355.0,22
33385.0,109
33396.0,46
33429.0,16
33433.0,52
33449.0,103
33616.0,97
33700.0,107
33702.0,71
33726.0,20
33727.0,71
33728.0,98
33759.0,46
33778.0,121
33781.0,129
33813.0,19
33835.0,115
33904.0,57
33928.0,33
33952.0,105
33995.0,96
34046.0,117
34048.0,33
34059.0,35
34064.0,68
34067.0,72
34082.0,23
34123.0,88
34189.0,88
34299.0,142
34310.0,16
34318.0,75
34347.0,20
34392.0,90
34426.0,94
34465.0,68
34600.0,117
34604.0,60
34624.0,23
34626.0,95
34651.0,48
34673.0,109
34696.0,109
34731.0,46
34762.0,119
34768.0,109
34851.0,12
34899.0,7
34905.0,133
34908.0,26
34936.0,21
34937.0,75
34945.0,68
34968.0,88
34995.0,49
34996.0,49
35071.0,24
35126.0,71
35164.0,81
35181.0,50
35183.0,33
35193.0,75
35244.0,104
35271.0,151
35286.0,66
35322.0,142
35385.0,13
35397.0,43
35417.0,32
35448.0,114
35493.0,27
35533.0,17
35570.0,68
35630.0,88
35649.0,102
35768.0,89
35769.0,98
35810.0,38
35882.0,61
36043.0,23
36120.0,94
36130.0,95
36164.0,118
36323.0,105
36492.0,66
36526.0,6
36582.0,72
36585.0,126
36586.0,138
36608.0,25
36685.0,143
36686.0,143
36687.0,47
36763.0,80
36880.0,40
36939.0,125
36960.0,95
37002.0,86
37009.0,52
37164.0,39
37214.0,47
37236.0,17
37274.0,96
37287.0,60
37320.0,116
37403.0,87
37461.0,87
37467.0,87
37525.0,72
37649.0,42
37682.0,67
37799.0,72
37826.0,16
37944.0,67
37983.0,68
38016.0,76
38054.0,111
38070.0,103
38075.0,6
38124.0,56
38241.0,71
38241.0,17
38271.0,21
38385.0,81
38397.0,105
38704.0,76
38854.0,109
38952.0,74
38977.0,109
38979.0,53
39116.0,98
39117.0,75
39174.0,72
39249.0,139
39277.0,88
39330.0,72
39583.0,32
39730.0,124
39974.0,10
40322.0,86
40349.0,17
40363.0,60
40398.0,88
40508.0,5
40513.0,26
40648.0,68
40791.0,67
40933.0,105
40937.0,46
41033.0,108
41131.0,110
41251.0,46
41295.0,94
41358.0,88
41390.0,21
41516.0,35
41556.0,16
41584.0,67
41673.0,40
41831.0,81
41898.0,96
41974.0,122
42056.0,9
42065.0,60
42133.0,76
42170.0,77
42177.0,9
42232.0,45
42293.0,139
42445.0,12
42575.0,38
42587.0,98
42603.0,23
42605.0,98
42642.0,105
42746.0,50
42761.0,66
42794.0,75
42805.0,7
43025.0,75
43033.0,36
43086.0,64
43110.0,67
43167.0,50
43204.0,14
43208.0,48
43257.0,42
43269.0,23
43283.0,42
43309.0,67
43319.0,81
43370.0,61
43378.0,106
43419.0,105
43431.0,19
43586.0,116
43627.0,71
43653.0,35
43668.0,67
43683.0,57
43730.0,50
43739.0,107
43740.0,72
43748.0,63
43760.0,70
43867.0,59
43965.0,67
43971.0,75
43982.0,65
44163.0,60
44253.0,68
44263.0,139
44266.0,106
44320.0,95
44323.0,95
44329.0,59
44400.0,54
44422.0,98
44562.0,78
44580.0,21
44646.0,12
44697.0,86
44759.0,40
44805.0,52
44865.0,118
44945.0,33
45123.0,40
45179.0,94
45234.0,67
45250.0,64
45404.0,22
45429.0,60
45459.0,90
45470.0,72
45476.0,117
45488.0,22
45504.0,38
45567.0,65
45710.0,50
45722.0,50
45754.0,61
45769.0,130
45890.0,10
46030.0,39
46091.0,9
46105.0,134
46197.0,14
46292.0,75
46344.0,97
46445.0,141
46525.0,84
46743.0,42
46757.0,50
46792.0,105
46816.0,68
47028.0,19
47068.0,4
47104.0,53
47153.0,76
47173.0,87
47195.0,5
47263.0,123
47313.0,151
47416.0,40
47454.0,94
47528.0,32
47540.0,32
47621.0,121
47742.0,35
47755.0,75
47761.0,67
47934.0,59
47934.0,131
47953.0,45
48378.0,63
48602.0,120
48607.0,15
48619.0,84
48659.0,116
48680.0,25
48703.0,68
48722.0,57
48740.0,95
48844.0,11
48969.0,51
49059.0,80
49068.0,108
49181.0,11
49234.0,27
49242.0,21
49281.0,45
49354.0,108
49606.0,16
49655.0,21
49666.0,86
49700.0,95
49733.0,53
49790.0,16
49953.0,94
50124.0,107
50153.0,35
50173.0,60
50274.0,9
50296.0,68
50322.0,87
50436.0,11
50580.0,16
50586.0,53
50620.0,35
50620.0,116
50881.0,52
51095.0,143
51220.0,22
51520.0,73
51537.0,67
51607.0,63
51640.0,80
51645.0,46
51657.0,68
51762.0,76
51824.0,77
51858.0,46
51921.0,40
51929.0,67
51933.0,9
51948.0,67
51961.0,67
52037.0,74
52086.0,22
52188.0,95
52230.0,20
52267.0,36
52285.0,110
52321.0,16
52359.0,67
52360.0,80
52391.0,46
52476.0,73
52504.0,84
52657.0,22
52705.0,25
52729.0,88
52823.0,88
52827.0,131
53018.0,97
53064.0,104
53079.0,126
53106.0,46
53332.0,43
53375.0,141
53402.0,95
53426.0,42
53526.0,67
53545.0,40
53572.0,67
53658.0,115
53670.0,20
53776.0,91
53795.0,67
53840.0,86
53870.0,57
53989.0,84
53994.0,41
53995.0,21
54002.0,75
54010.0,22
54024.0,22
54046.0,105
54216.0,75
54339.0,40
54400.0,76
54404.0,17
54540.0,84
54685.0,136
54717.0,11
54879.0,33
54949.0,67
55108.0,100
55119.0,104
55142.0,80
55146.0,5
55330.0,68
55391.0,13
55422.0,122
55508.0,16
55606.0,104
55610.0,61
55713.0,75
55743.0,107
55744.0,64
55806.0,81
55825.0,67
56021.0,55
56031.0,6
56061.0,57
56069.0,6
56094.0,122
56097.0,122
56115.0,46
56169.0,151
56201.0,72
56263.0,140
56268.0,24
56307.0,67
56392.0,109
56442.0,72
56588.0,52
56620.0,14
56630.0,108
56657.0,60
56753.0,22
56756.0,43
56802.0,40
56886.0,115
56919.0,60
56929.0,64
56985.0,10
56985.0,42
57060.0,16
57094.0,16
57116.0,91
57156.0,80
57207.0,61
57232.0,84
57294.0,36
57316.0,55
57397.0,115
57488.0,85
57636.0,107
57648.0,40
57663.0,42
57692.0,72
57693.0,64
57721.0,21
57737.0,67
57781.0,14
57790.0,97
57820.0,72
57872.0,61
57883.0,70
57892.0,57
57897.0,64
57899.0,108
57909.0,59
57922.0,98
57943.0,43
58029.0,133
58030.0,22
58038.0,13
58044.0,107
58133.0,80
58175.0,67
58195.0,58
58257.0,117
58281.0,20
58303.0,43
58358.0,50
58375.0,43
58394.0,80
58405.0,53
58473.0,53
58533.0,76
58566.0,107
58591.0,64
58613.0,61
58664.0,21
58682.0,23
58717.0,76
58752.0,11
58775.0,11
58801.0,25
58811.0,13
58829.0,7
58861.0,141
58916.0,20
58919.0,71
58926.0,58
58999.0,10
59004.0,9
59014.0,42
59047.0,117
59085.0,64
59101.0,23
59125.0,73
59135.0,80
59195.0,23
59259.0,48
59367.0,11
59374.0,68
59376.0,110
59419.0,81
59432.0,80
59457.0,151
59506.0,60
59518.0,60
59530.0,81
59545.0,104
59551.0,50
59607.0,60
59631.0,72
59637.0,13
59651.0,67
59679.0,49
59690.0,52
59704.0,9
59707.0,52
59726.0,136
59735.0,91
59799.0,60
59800.0,11
59891.0,115
59964.0,95
59965.0,22
60027.0,143
60038.0,76
60042.0,135
60045.0,55
60052.0,50
60056.0,75
60069.0,47
60072.0,24
60073.0,72
60073.0,22
60080.0,11
60084.0,107
60093.0,20
60095.0,47
60104.0,84
60118.0,38
60139.0,10
60163.0,72
60167.0,61
60229.0,41
60272.0,64
60312.0,91
60320.0,42
60324.0,68
60342.0,143
60404.0,80
60435.0,10
60472.0,108
60475.0,41
60554.0,84
60558.0,91
