starttime,start station id
23.0,57
46.0,16
52.0,16
104.0,57
196.0,50
303.0,5
381.0,88
419.0,53
440.0,67
483.0,73
606.0,6
723.0,66
862.0,118
1014.0,45
1059.0,33
1175.0,72
1176.0,57
1214.0,88
1232.0,75
1277.0,8
1404.0,22
1410.0,54
1491.0,74
1504.0,27
1619.0,6
1676.0,109
1755.0,7
1771.0,27
1778.0,109
1793.0,78
1824.0,142
1896.0,46
2024.0,33
2027.0,95
2093.0,54
2163.0,109
2319.0,68
2462.0,88
2484.0,53
2504.0,33
2594.0,55
2608.0,33
2645.0,55
2652.0,33
2664.0,33
2679.0,97
2908.0,24
2926.0,98
2940.0,22
3073.0,55
3078.0,55
3154.0,73
3207.0,74
3495.0,81
3506.0,120
3514.0,120
3571.0,120
3590.0,115
3618.0,68
3703.0,3
3715.0,110
3742.0,33
3909.0,115
3915.0,57
3936.0,81
3977.0,57
4011.0,3
4071.0,24
4094.0,54
4105.0,24
4238.0,23
4463.0,55
4472.0,55
4562.0,47
4700.0,123
4845.0,4
4915.0,78
5050.0,55
5065.0,122
5087.0,122
5113.0,122
5175.0,74
5265.0,58
5278.0,58
5325.0,58
5563.0,41
5691.0,75
5767.0,19
5826.0,57
5990.0,48
6075.0,75
6129.0,61
6169.0,32
6184.0,19
6426.0,55
6435.0,135
7033.0,26
7036.0,25
7072.0,134
7123.0,134
7139.0,134
7333.0,6
7358.0,6
7367.0,30
7392.0,30
7485.0,43
7549.0,33
7571.0,33
7741.0,68
7751.0,100
7848.0,46
7910.0,100
7914.0,49
7920.0,49
7976.0,41
7986.0,41
8100.0,36
8168.0,68
8301.0,109
8364.0,76
8379.0,76
8426.0,32
8446.0,32
8534.0,100
8674.0,49
8719.0,16
9050.0,45
9274.0,16
9376.0,152
9679.0,49
9689.0,4
9814.0,49
9827.0,22
10002.0,55
10163.0,100
10256.0,53
10311.0,8
10652.0,67
10655.0,67
11190.0,74
11289.0,53
11811.0,67
11879.0,74
12018.0,76
12098.0,102
12368.0,115
12979.0,76
13809.0,55
14296.0,105
15187.0,121
15364.0,67
16027.0,4
16932.0,76
18307.0,95
18573.0,128
19550.0,149
21159.0,12
21452.0,54
21747.0,87
21757.0,87
21763.0,87
22313.0,53
22384.0,64
22542.0,66
23139.0,31
23404.0,53
23508.0,100
23655.0,4
24038.0,138
24294.0,57
24450.0,45
24503.0,57
24632.0,57
24878.0,45
24881.0,45
24997.0,47
25107.0,108
25143.0,72
25340.0,17
25351.0,17
25623.0,60
25653.0,37
25841.0,22
26005.0,100
26027.0,52
26047.0,37
26048.0,115
26064.0,75
26158.0,11
26287.0,4
26389.0,25
27088.0,60
27097.0,27
27125.0,89
27163.0,16
27164.0,94
27268.0,56
27282.0,49
27310.0,49
27415.0,76
27456.0,46
27471.0,26
27481.0,41
27491.0,41
27536.0,139
27577.0,98
27582.0,98
27639.0,19
27711.0,36
27765.0,69
27771.0,68
27811.0,68
27848.0,52
27884.0,87
27918.0,98
28005.0,21
28049.0,125
28151.0,30
28162.0,120
28162.0,21
28194.0,76
28204.0,44
28209.0,41
28303.0,53
28309.0,4
28310.0,4
28359.0,46
28362.0,81
28387.0,86
28429.0,4
28440.0,53
28636.0,98
28646.0,4
28660.0,27
28760.0,60
28843.0,71
29036.0,137
29052.0,77
29106.0,36
29107.0,41
29127.0,58
29143.0,66
29163.0,25
29183.0,25
29191.0,53
29384.0,12
29385.0,11
29412.0,22
29438.0,141
29484.0,52
29505.0,35
29532.0,43
29566.0,104
29682.0,82
29752.0,22
29808.0,52
29858.0,114
29867.0,66
29871.0,133
29878.0,106
29900.0,99
29910.0,120
29920.0,57
29954.0,70
30088.0,121
30097.0,76
30144.0,4
30177.0,52
30370.0,6
30495.0,21
30553.0,57
30714.0,133
30725.0,40
30818.0,55
30945.0,82
30977.0,9
30997.0,38
31093.0,94
31099.0,68
31252.0,124
31289.0,30
31317.0,133
31345.0,69
31350.0,54
31376.0,94
31397.0,42
31441.0,95
31447.0,78
31461.0,87
31470.0,40
31473.0,116
31522.0,82
31578.0,71
31596.0,33
31605.0,20
31614.0,23
31655.0,6
31683.0,120
31747.0,126
31827.0,139
31891.0,53
31934.0,45
31950.0,78
31970.0,57
31970.0,120
31989.0,81
32054.0,16
32062.0,47
32098.0,16
32110.0,21
32126.0,16
32139.0,57
32158.0,17
32167.0,25
32173.0,99
32182.0,118
32227.0,71
32232.0,97
32241.0,55
32245.0,76
32326.0,108
32341.0,25
32345.0,139
32349.0,88
32369.0,19
32509.0,128
32590.0,150
32629.0,36
32655.0,6
32697.0,46
32722.0,151
32782.0,52
32807.0,40
32807.0,60
32838.0,33
32860.0,13
33009.0,81
33029.0,116
33064.0,118
33069.0,118
33070.0,65
33165.0,9
33179.0,6
33182.0,131
33191.0,152
33205.0,91
33277.0,45
33296.0,113
33315.0,113
33316.0,6
33329.0,82
33347.0,60
33361.0,53
33378.0,75
33393.0,134
33402.0,25
33439.0,23
33447.0,19
33555.0,152
33579.0,98
33582.0,73
33586.0,96
33598.0,73
33616.0,45
33618.0,94
33649.0,129
33676.0,75
33697.0,75
33714.0,53
33746.0,42
33781.0,57
33786.0,149
33791.0,42
33803.0,57
33863.0,60
33947.0,128
33949.0,47
33951.0,39
33956.0,104
