stoptime,end station id
3201.0,71
3243.0,115
3376.0,121
3310.0,40
12.0,72
3519.0,105
2111.0,103
2124.0,103
35.0,50
59.0,88
198.0,32
171.0,57
3260.0,151
3280.0,151
2774.0,89
3401.0,98
461.0,109
2997.0,10
3353.0,53
657.0,41
703.0,41
748.0,41
662.0,41
3225.0,36
3230.0,36
38.0,45
1699.0,45
802.0,16
962.0,81
495.0,25
864.0,150
1346.0,61
687.0,15
1401.0,13
1631.0,88
352.0,33
312.0,33
189.0,42
1699.0,76
1671.0,76
1435.0,114
1427.0,8
2028.0,58
2018.0,58
1937.0,9
1907.0,9
2155.0,25
1875.0,53
1525.0,90
1825.0,20
1917.0,57
2057.0,53
2484.0,55
2275.0,49
2210.0,55
2293.0,49
2570.0,45
2587.0,19
2572.0,19
1845.0,30
2045.0,30
1931.0,53
2296.0,45
3087.0,118
2954.0,4
2734.0,32
2679.0,57
2344.0,20
2338.0,20
6658.0,87
6928.0,150
6940.0,141
6689.0,81
3966.0,96
7127.0,52
3854.0,6
3989.0,75
3613.0,88
4037.0,40
3852.0,42
5338.0,42
6775.0,66
7191.0,32
4318.0,68
4417.0,59
3742.0,63
4780.0,104
4937.0,22
4762.0,104
7195.0,48
4547.0,91
4984.0,95
6686.0,48
4727.0,120
4449.0,53
5153.0,53
4467.0,100
5699.0,53
6612.0,69
5671.0,53
6620.0,69
5073.0,74
5242.0,97
5277.0,97
5311.0,97
4734.0,121
5674.0,149
5443.0,15
5655.0,75
5922.0,4
5926.0,4
5884.0,60
6010.0,55
6429.0,47
6134.0,73
6536.0,67
6320.0,53
6788.0,118
5687.0,97
5632.0,75
6654.0,88
8725.0,110
8855.0,110
10028.0,113
10029.0,113
7368.0,111
7235.0,78
10229.0,45
7264.0,50
10555.0,73
10796.0,73
9593.0,125
7265.0,91
7398.0,67
7408.0,67
7576.0,67
7572.0,67
7361.0,89
9839.0,98
9874.0,98
10044.0,98
7533.0,88
7878.0,60
10654.0,30
7538.0,25
8252.0,75
8028.0,152
7926.0,13
8405.0,57
8637.0,25
8025.0,105
8064.0,10
8449.0,121
8434.0,121
9204.0,119
9047.0,119
9205.0,119
8966.0,95
8500.0,49
9923.0,9
8680.0,69
10030.0,109
10895.0,27
11358.0,8
11473.0,91
12459.0,104
13005.0,4
13495.0,41
17077.0,9
15136.0,53
14876.0,91
15042.0,131
16204.0,22
16181.0,22
21229.0,43
21274.0,43
18037.0,150
18655.0,27
18325.0,5
18111.0,5
20623.0,96
21079.0,11
24430.0,65
24392.0,65
23663.0,121
23682.0,121
24767.0,93
24538.0,58
24929.0,40
21747.0,65
22147.0,6
22029.0,37
22187.0,120
22572.0,63
22044.0,14
23247.0,46
22103.0,66
23250.0,87
23588.0,49
23791.0,11
23205.0,38
27714.0,75
25437.0,80
25463.0,32
28741.0,12
25426.0,21
25305.0,134
25370.0,21
