stoptime,end station id
2589.0,91
2401.0,21
242.0,45
431.0,97
3171.0,131
3195.0,131
210.0,87
648.0,67
2813.0,82
849.0,107
823.0,82
1194.0,76
1122.0,33
914.0,3
940.0,3
956.0,3
1195.0,25
1129.0,46
1832.0,76
1207.0,105
1548.0,45
2254.0,27
2290.0,81
1577.0,87
6633.0,71
6521.0,138
3848.0,117
6408.0,97
7176.0,45
7029.0,6
4129.0,42
6787.0,103
4334.0,60
4317.0,103
5083.0,73
4306.0,97
5034.0,53
6119.0,13
10098.0,30
9608.0,87
9740.0,128
8114.0,67
7540.0,72
8488.0,88
7688.0,87
14346.0,75
12731.0,91
12472.0,8
13200.0,95
13305.0,75
12582.0,87
13331.0,16
17449.0,61
14727.0,134
15218.0,149
15844.0,55
16082.0,131
16493.0,138
16817.0,22
16819.0,120
17077.0,90
16843.0,121
15858.0,54
21198.0,60
19865.0,133
18479.0,134
18896.0,26
18559.0,60
18739.0,67
19383.0,58
19067.0,3
19173.0,134
19553.0,58
19337.0,150
19719.0,52
19981.0,16
20200.0,70
19689.0,13
19939.0,54
19948.0,150
20214.0,15
19848.0,32
20353.0,150
20324.0,32
20272.0,95
20486.0,48
20839.0,48
20272.0,150
20898.0,150
20852.0,49
21027.0,150
21053.0,43
20983.0,14
20869.0,67
20960.0,134
24125.0,11
25016.0,32
24895.0,14
25128.0,134
25103.0,22
24900.0,150
25053.0,90
21667.0,14
25127.0,31
21846.0,61
21682.0,22
25144.0,41
21665.0,143
21838.0,14
21971.0,48
21856.0,24
21686.0,80
21856.0,117
22665.0,40
22311.0,107
22267.0,20
22935.0,47
22194.0,11
21955.0,91
22857.0,35
22158.0,7
22398.0,11
22827.0,141
22841.0,72
22691.0,61
22603.0,61
22617.0,76
22108.0,20
22618.0,64
22850.0,61
23172.0,35
23318.0,48
23144.0,40
23187.0,24
23030.0,80
23259.0,36
22394.0,66
23704.0,48
22692.0,122
23019.0,14
23060.0,13
23433.0,7
23243.0,84
23340.0,124
22988.0,129
23625.0,16
23329.0,35
23134.0,72
23478.0,48
23097.0,22
23783.0,3
23445.0,22
23044.0,61
23801.0,76
23726.0,6
23342.0,141
23268.0,9
23920.0,109
23606.0,23
23716.0,31
23774.0,14
23786.0,11
23961.0,109
23135.0,40
23871.0,6
23599.0,22
23976.0,47
22679.0,11
23698.0,22
24137.0,74
24250.0,152
24267.0,43
23171.0,52
23857.0,50
24137.0,13
22986.0,81
24018.0,11
23675.0,68
24086.0,42
24075.0,13
24005.0,135
24386.0,13
23671.0,151
24329.0,100
24000.0,60
24541.0,100
22983.0,38
23876.0,11
24218.0,48
23949.0,11
23067.0,85
24306.0,108
24648.0,75
24253.0,35
24294.0,30
23906.0,91
24628.0,151
24205.0,11
24332.0,73
24671.0,39
24580.0,48
24504.0,24
23464.0,150
24110.0,7
23983.0,91
24714.0,48
24336.0,35
23963.0,22
24579.0,50
24390.0,46
24765.0,42
24591.0,7
24559.0,60
24911.0,116
28452.0,80
28409.0,13
28215.0,23
28324.0,48
28426.0,105
28429.0,64
28669.0,134
28399.0,50
28175.0,136
28331.0,60
28575.0,48
28568.0,31
28671.0,24
28617.0,38
25214.0,35
28216.0,64
25304.0,35
28428.0,91
28335.0,7
28766.0,117
25307.0,91
28593.0,31
25625.0,26
25298.0,13
25414.0,22
28381.0,60
25564.0,100
27910.0,48
28778.0,49
28172.0,11
25472.0,48
25661.0,40
25604.0,58
25560.0,60
25740.0,151
28762.0,61
25331.0,56
25265.0,36
25380.0,72
25414.0,12
25884.0,107
25878.0,76
25227.0,16
28383.0,39
28664.0,107
25737.0,31
25743.0,67
25887.0,133
25548.0,16
25390.0,42
25810.0,21
28785.0,50
25487.0,57
25275.0,7
25911.0,143
25790.0,136
25925.0,120
25514.0,74
26056.0,23
27701.0,98
25501.0,117
25672.0,60
25832.0,11
25414.0,25
28799.0,138
26030.0,43
26095.0,21
25548.0,84
25963.0,53
25790.0,64
28686.0,61
25404.0,35
25546.0,90
25652.0,73
25893.0,35
26293.0,12
25248.0,16
26091.0,59
26198.0,100
25249.0,82
25335.0,81
25666.0,42
25944.0,141
25237.0,11
28492.0,70
25824.0,48
26217.0,40
26240.0,11
26163.0,11
25885.0,22
25243.0,49
26444.0,42
28734.0,11
25713.0,131
26445.0,151
26282.0,90
25573.0,21
25566.0,60
25737.0,61
25861.0,72
25684.0,14
26182.0,5
26089.0,7
26205.0,113
26238.0,138
26354.0,25
26076.0,67
25481.0,14
26307.0,31
25781.0,50
26056.0,81
26639.0,59
26143.0,22
26102.0,45
25436.0,125
26678.0,16
26083.0,74
26717.0,67
26710.0,67
26741.0,23
26500.0,151
26536.0,24
26505.0,14
26147.0,11
25731.0,61
26455.0,72
26471.0,14
26133.0,61
26768.0,10
26405.0,36
26898.0,64
26651.0,90
26849.0,35
