stoptime,end station id
2982.0,105
3422.0,96
3477.0,91
17.0,99
943.0,137
930.0,137
1054.0,55
2350.0,5
1508.0,69
3845.0,84
4546.0,88
5159.0,27
9635.0,120
11610.0,61
13430.0,4
17279.0,11
18822.0,21
19016.0,21
19234.0,48
19448.0,58
20038.0,42
19997.0,81
20946.0,70
24806.0,67
21619.0,150
24898.0,72
21828.0,36
21961.0,80
22151.0,5
24807.0,95
21868.0,22
22503.0,134
22678.0,13
23185.0,53
23184.0,68
23203.0,11
22810.0,60
23312.0,16
23309.0,30
22773.0,122
23762.0,48
23286.0,75
23320.0,84
23074.0,129
23665.0,11
23893.0,22
23522.0,9
24148.0,39
23650.0,30
24454.0,100
24469.0,20
24598.0,35
24327.0,11
24730.0,12
24711.0,16
24823.0,22
28371.0,7
28524.0,64
28618.0,24
28555.0,31
28516.0,90
25514.0,100
25273.0,13
25460.0,64
25270.0,112
28301.0,55
28773.0,35
28588.0,60
25545.0,16
25975.0,72
25435.0,16
26095.0,7
25990.0,64
26167.0,42
25741.0,107
26366.0,67
26930.0,43
26996.0,55
26806.0,22
27115.0,35
26875.0,64
26956.0,36
27012.0,22
27290.0,16
26744.0,60
27566.0,64
27123.0,74
27555.0,42
26773.0,84
27640.0,58
27955.0,25
27714.0,58
27731.0,17
27749.0,64
28073.0,50
28040.0,117
27680.0,22
28171.0,81
28263.0,14
28025.0,59
27212.0,36
28331.0,74
28104.0,108
28303.0,50
27637.0,65
27047.0,45
28121.0,80
31655.0,23
31757.0,91
31218.0,56
32234.0,16
28801.0,40
31755.0,14
32080.0,17
32332.0,64
28825.0,61
30648.0,29
29017.0,22
32126.0,14
28893.0,50
29208.0,100
29139.0,39
29305.0,143
31992.0,143
29159.0,143
32303.0,64
29326.0,48
31898.0,23
29551.0,23
29338.0,151
29275.0,14
32151.0,107
29298.0,60
29300.0,7
29881.0,16
28887.0,143
29802.0,59
29173.0,6
29918.0,150
29379.0,80
30039.0,73
29888.0,68
29674.0,69
30001.0,33
29610.0,14
30177.0,87
30312.0,52
30303.0,100
29634.0,33
30362.0,60
30091.0,103
30205.0,74
30098.0,107
30186.0,109
30348.0,46
30250.0,64
29270.0,29
30326.0,3
30606.0,48
30622.0,50
30242.0,13
30860.0,42
29804.0,135
30972.0,141
30519.0,140
31046.0,100
29032.0,135
30442.0,67
30873.0,7
30642.0,72
30643.0,117
30910.0,42
30063.0,40
31059.0,104
29829.0,141
30680.0,150
31212.0,74
31070.0,64
30954.0,9
30759.0,142
30934.0,68
31188.0,20
31225.0,61
30921.0,61
31489.0,48
31569.0,64
31655.0,74
31244.0,48
31595.0,40
31565.0,90
31396.0,64
31757.0,76
31817.0,53
30427.0,24
31530.0,22
31832.0,98
31612.0,11
31643.0,68
31468.0,60
31596.0,90
31446.0,135
31430.0,81
31879.0,21
30766.0,141
31854.0,67
30764.0,85
31915.0,36
34982.0,84
35566.0,43
35863.0,114
35847.0,12
35143.0,107
35781.0,131
35227.0,10
35921.0,91
35914.0,110
35799.0,43
35208.0,143
35537.0,134
35682.0,48
35951.0,22
35903.0,6
32595.0,35
32519.0,151
35217.0,53
32459.0,72
35756.0,134
35466.0,108
32552.0,64
32454.0,80
32620.0,72
32966.0,42
33077.0,59
33012.0,115
32676.0,6
32641.0,87
35140.0,13
35817.0,135
32903.0,10
35950.0,52
33204.0,35
35917.0,64
33040.0,80
32697.0,14
33154.0,107
33007.0,74
32595.0,22
33299.0,20
35183.0,109
33027.0,22
33245.0,67
33307.0,22
33204.0,86
32694.0,48
33091.0,64
33341.0,84
33166.0,136
32443.0,86
33213.0,72
33191.0,39
33164.0,10
33264.0,17
32702.0,16
32914.0,84
33413.0,3
33877.0,74
33618.0,110
33658.0,47
33925.0,141
33843.0,87
33571.0,107
33882.0,33
33908.0,80
34106.0,48
34475.0,74
34182.0,73
34542.0,40
34232.0,74
34453.0,64
34136.0,72
34186.0,74
33716.0,30
34240.0,80
34020.0,14
34566.0,123
34494.0,68
34038.0,50
34126.0,48
34573.0,5
34315.0,91
34076.0,107
34760.0,120
33664.0,115
34697.0,40
34974.0,100
34782.0,16
34743.0,150
34293.0,75
34923.0,67
34990.0,47
34821.0,80
34519.0,67
34804.0,117
34747.0,42
34798.0,50
34701.0,80
35168.0,80
35248.0,100
35379.0,100
34882.0,75
35234.0,142
35146.0,11
35578.0,75
35664.0,75
35437.0,85
38652.0,107
39220.0,150
39222.0,67
38222.0,42
39392.0,72
36113.0,22
36210.0,58
36085.0,72
36179.0,80
36299.0,64
36613.0,100
36529.0,87
36346.0,80
36358.0,31
36266.0,67
36332.0,107
36209.0,14
37033.0,85
36888.0,73
37338.0,70
37146.0,40
36910.0,9
37450.0,73
37384.0,110
37486.0,151
37159.0,60
37669.0,36
37700.0,74
37930.0,43
38031.0,61
37799.0,43
38041.0,122
38192.0,75
38031.0,67
38231.0,72
38263.0,64
38065.0,80
38344.0,131
37858.0,58
37749.0,91
38383.0,85
37975.0,57
38756.0,134
38645.0,74
38326.0,11
38850.0,100
38757.0,108
38214.0,11
38560.0,68
38986.0,10
38727.0,11
38735.0,74
38420.0,36
38681.0,36
38769.0,74
38837.0,22
38491.0,72
39121.0,60
42911.0,117
42762.0,72
43028.0,76
42760.0,9
42792.0,19
43079.0,87
