stoptime,end station id
2899.0,91
2485.0,111
56.0,111
2717.0,8
340.0,55
1001.0,128
747.0,110
3548.0,91
474.0,99
3434.0,37
247.0,39
940.0,30
382.0,39
1541.0,67
2020.0,53
2005.0,53
1293.0,17
2543.0,57
3054.0,71
2574.0,99
2575.0,99
3928.0,25
3985.0,114
3967.0,75
4202.0,118
4564.0,21
4565.0,21
4618.0,51
4585.0,15
4664.0,33
3792.0,61
3793.0,61
4991.0,53
5003.0,53
5011.0,111
5364.0,53
5569.0,134
5957.0,30
5886.0,118
6063.0,118
6252.0,138
10200.0,5
8310.0,53
11385.0,94
13508.0,4
16644.0,13
16170.0,22
16060.0,50
21414.0,60
21526.0,22
20938.0,63
19198.0,48
19172.0,149
19339.0,58
18058.0,48
19119.0,60
18876.0,149
19384.0,58
19806.0,54
20000.0,54
19332.0,137
20187.0,88
20241.0,40
20291.0,81
20879.0,109
19973.0,60
20578.0,48
19602.0,7
20984.0,14
20822.0,80
21200.0,16
21194.0,16
20701.0,138
21341.0,22
25030.0,150
25057.0,9
25081.0,68
24662.0,35
21987.0,70
25077.0,78
24927.0,14
21782.0,72
25128.0,50
22067.0,48
22192.0,14
25156.0,117
21891.0,48
22551.0,134
22410.0,39
24946.0,17
22559.0,11
22606.0,35
22537.0,40
22473.0,43
22190.0,7
22648.0,13
22284.0,21
22646.0,133
22220.0,17
22720.0,22
22884.0,36
22739.0,48
22129.0,91
22810.0,31
22689.0,72
21819.0,8
22552.0,12
22526.0,21
22725.0,149
23111.0,35
23293.0,47
23061.0,24
22905.0,36
22499.0,14
22735.0,61
22900.0,91
23167.0,31
22765.0,14
22185.0,134
23173.0,109
23351.0,64
23287.0,7
23368.0,13
22818.0,61
23278.0,84
23797.0,48
23391.0,73
23567.0,50
22651.0,122
23218.0,80
23742.0,12
23546.0,41
23920.0,48
24010.0,109
23961.0,100
23370.0,135
22703.0,141
23816.0,67
24089.0,107
23735.0,50
23684.0,23
24025.0,74
23777.0,31
23933.0,22
23741.0,11
23985.0,48
24159.0,39
23300.0,68
24040.0,50
23107.0,20
23122.0,61
24103.0,11
23937.0,11
23413.0,43
24261.0,109
23835.0,11
23847.0,35
23655.0,11
24133.0,6
23999.0,35
24096.0,48
24345.0,100
24356.0,100
23814.0,80
24161.0,13
24345.0,43
23922.0,57
24038.0,135
23196.0,3
24374.0,20
24344.0,35
24219.0,60
24174.0,22
24136.0,13
24134.0,45
23827.0,91
24365.0,13
24215.0,30
24292.0,24
24559.0,152
24088.0,134
24075.0,60
24135.0,13
24489.0,48
24475.0,13
23981.0,14
24585.0,151
24651.0,67
24031.0,141
23883.0,91
24537.0,64
24659.0,150
23582.0,11
24254.0,22
24544.0,52
23829.0,61
24604.0,7
23514.0,70
24771.0,109
24181.0,61
24726.0,64
24746.0,22
24397.0,16
25017.0,100
28185.0,59
28544.0,67
27794.0,116
28080.0,107
28438.0,91
28492.0,64
28681.0,7
28114.0,7
28280.0,23
28754.0,20
28716.0,64
28757.0,23
28172.0,11
25390.0,75
28200.0,69
28583.0,11
28703.0,108
25256.0,49
28570.0,72
28739.0,134
28693.0,22
28793.0,48
25356.0,16
25367.0,48
28456.0,117
25580.0,100
28087.0,61
25252.0,43
28579.0,7
25325.0,31
25387.0,59
28662.0,60
25586.0,60
28518.0,35
28492.0,60
25634.0,134
28192.0,21
25765.0,133
25749.0,75
28593.0,145
28709.0,60
28763.0,61
25693.0,7
25584.0,58
25875.0,10
28652.0,50
25334.0,22
25836.0,67
25837.0,67
25419.0,84
25705.0,35
25587.0,14
25349.0,49
25444.0,35
25580.0,16
25740.0,72
28514.0,36
25927.0,100
25581.0,80
25686.0,60
25231.0,80
25260.0,96
25218.0,134
25316.0,7
25501.0,90
25649.0,14
25614.0,22
26069.0,43
25724.0,72
25494.0,80
26140.0,65
25742.0,108
25315.0,107
25204.0,60
25916.0,61
25263.0,33
28720.0,74
25469.0,45
25317.0,50
25861.0,80
25914.0,22
26165.0,11
26146.0,136
25990.0,35
26178.0,72
25807.0,64
25489.0,6
25759.0,100
26199.0,11
26328.0,151
26143.0,22
25564.0,141
26015.0,38
25353.0,81
25664.0,88
26338.0,54
25893.0,67
25811.0,81
26272.0,20
26422.0,11
26295.0,38
26215.0,67
26465.0,151
26283.0,24
25831.0,50
25892.0,75
26228.0,61
25587.0,75
26415.0,14
26435.0,67
26088.0,113
25544.0,13
26380.0,64
26226.0,10
26502.0,50
26349.0,90
26369.0,50
26466.0,6
26488.0,151
26395.0,11
26454.0,22
26119.0,142
25702.0,14
26000.0,85
26424.0,135
26204.0,67
26475.0,31
26348.0,36
26486.0,65
26896.0,16
26457.0,107
26545.0,22
26988.0,55
26431.0,74
27085.0,151
26341.0,11
26680.0,48
26541.0,117
26887.0,107
26995.0,108
26029.0,19
26910.0,22
26221.0,48
26901.0,16
26794.0,64
27077.0,64
26790.0,73
26869.0,7
25879.0,107
26590.0,143
27125.0,80
27074.0,64
26563.0,72
27035.0,91
27313.0,81
26224.0,7
26202.0,9
26946.0,38
25851.0,105
26583.0,91
26817.0,75
26866.0,151
26968.0,59
27283.0,48
26984.0,3
25945.0,11
26622.0,22
27028.0,80
27195.0,36
27423.0,23
25557.0,22
26494.0,3
26783.0,3
27033.0,91
26987.0,22
27453.0,35
27285.0,22
27358.0,91
27235.0,48
27056.0,117
26521.0,55
27531.0,48
27073.0,43
26816.0,75
26231.0,4
27478.0,76
27296.0,22
27664.0,100
27195.0,4
27419.0,91
26043.0,33
26988.0,14
26949.0,74
27670.0,48
27565.0,23
27769.0,89
26544.0,7
27282.0,135
27582.0,57
26751.0,67
27362.0,64
26286.0,76
27617.0,50
27366.0,81
27729.0,76
27022.0,117
27749.0,16
27582.0,53
27504.0,151
27730.0,67
27242.0,61
26922.0,73
27599.0,82
27791.0,23
27720.0,31
27862.0,36
26933.0,90
27727.0,104
27330.0,107
27022.0,141
27265.0,50
27703.0,44
27859.0,151
27887.0,64
27125.0,80
27226.0,33
26916.0,10
27086.0,30
27724.0,58
27801.0,35
27544.0,48
27300.0,64
27598.0,97
27523.0,22
26597.0,14
27293.0,80
27348.0,13
28052.0,151
27058.0,112
27591.0,16
27732.0,22
28078.0,115
27785.0,14
27585.0,67
27998.0,23
27800.0,72
27804.0,64
27691.0,3
27626.0,72
27954.0,50
27360.0,36
27895.0,64
27706.0,50
27890.0,43
27903.0,24
28061.0,117
27481.0,30
28265.0,26
27848.0,59
27371.0,48
27418.0,61
28226.0,20
28127.0,84
27931.0,117
27922.0,23
28023.0,80
28100.0,72
28002.0,135
27745.0,7
27297.0,36
27490.0,31
27705.0,91
28174.0,81
28033.0,47
27933.0,22
28295.0,43
27544.0,80
27361.0,80
28054.0,6
27697.0,117
28216.0,91
27922.0,75
27842.0,139
27983.0,35
28152.0,5
28268.0,4
27744.0,91
27593.0,111
27996.0,22
28058.0,13
28121.0,35
27734.0,91
28284.0,46
27968.0,105
27920.0,43
27844.0,32
27892.0,50
27256.0,143
28461.0,59
27846.0,45
27624.0,91
27933.0,22
28298.0,36
27756.0,14
27016.0,80
28372.0,59
28481.0,9
28176.0,48
28290.0,22
27318.0,56
28213.0,14
28525.0,20
28302.0,35
28172.0,35
28082.0,48
28365.0,22
27751.0,80
28132.0,150
27998.0,11
27761.0,33
28606.0,45
28292.0,48
28063.0,64
31253.0,87
31703.0,43
32314.0,40
31817.0,49
32282.0,100
31393.0,14
31453.0,55
32025.0,22
31666.0,117
31937.0,64
31292.0,108
32068.0,64
32114.0,7
28854.0,52
31996.0,54
31824.0,150
32286.0,51
32001.0,73
32103.0,7
31846.0,16
32332.0,100
31864.0,91
31801.0,143
32139.0,117
32382.0,35
30804.0,109
32084.0,10
31245.0,35
32110.0,64
32379.0,59
32310.0,22
32221.0,22
32243.0,21
31997.0,23
31719.0,60
31743.0,138
31508.0,143
32253.0,20
32007.0,22
28804.0,76
31918.0,117
32363.0,98
32160.0,108
32226.0,60
31688.0,6
28960.0,35
31756.0,107
31863.0,22
32168.0,3
32239.0,141
31628.0,67
31900.0,25
32086.0,90
31739.0,50
32111.0,7
31339.0,30
32154.0,98
32239.0,98
28905.0,40
29089.0,100
28911.0,30
32133.0,151
28964.0,53
32054.0,82
31552.0,105
32265.0,141
31759.0,11
29050.0,142
32185.0,80
29001.0,115
31662.0,30
28958.0,16
32279.0,64
32325.0,64
28970.0,44
32242.0,24
30690.0,29
32239.0,80
29052.0,72
32255.0,23
32396.0,23
28924.0,14
32107.0,61
29262.0,120
31952.0,107
32179.0,22
31829.0,60
32048.0,49
28861.0,74
32268.0,91
29083.0,47
32279.0,22
30876.0,98
32384.0,7
28996.0,35
29046.0,19
28818.0,48
29297.0,32
29168.0,7
28921.0,119
32163.0,26
32337.0,40
31904.0,143
31899.0,143
32152.0,150
29091.0,21
28902.0,150
28813.0,6
28932.0,48
31721.0,6
32082.0,117
29061.0,14
32371.0,6
29350.0,150
29344.0,13
29048.0,64
