stoptime,end station id
1635.0,118
13616.0,76
21168.0,73
26494.0,107
26565.0,141
27124.0,140
27855.0,108
28074.0,107
28423.0,140
28995.0,76
29209.0,85
29420.0,81
30103.0,76
30184.0,80
30389.0,141
30384.0,141
31228.0,74
31279.0,73
31627.0,74
31708.0,143
31598.0,76
31619.0,76
31919.0,76
32887.0,72
32694.0,97
32863.0,117
33073.0,80
33447.0,117
33730.0,115
34026.0,104
34108.0,72
33878.0,143
34000.0,76
34543.0,141
35098.0,141
39028.0,80
38972.0,115
38957.0,115
39283.0,38
39123.0,84
36221.0,107
36333.0,80
36561.0,91
39059.0,142
37044.0,76
36952.0,95
37333.0,141
37598.0,88
37693.0,74
37740.0,72
38039.0,80
38528.0,76
38339.0,80
38751.0,110
38691.0,68
38704.0,87
38324.0,20
42583.0,116
40420.0,70
40841.0,68
40842.0,67
41527.0,68
41665.0,74
41918.0,85
42446.0,67
41817.0,46
46244.0,96
43577.0,84
43823.0,74
43675.0,91
43744.0,67
43360.0,36
43269.0,110
43582.0,46
44158.0,97
45031.0,87
44960.0,72
46015.0,97
45823.0,116
45834.0,116
46243.0,80
49592.0,145
49978.0,67
46952.0,74
47282.0,88
50210.0,46
48338.0,76
47355.0,107
47352.0,107
48925.0,68
48811.0,108
48089.0,74
49499.0,74
48785.0,85
49642.0,118
49247.0,104
52665.0,107
50555.0,105
50903.0,88
51294.0,115
51680.0,97
51237.0,76
51695.0,67
51934.0,88
50689.0,108
52016.0,95
52074.0,116
52313.0,74
52740.0,105
52205.0,88
53042.0,75
53416.0,87
53292.0,116
53719.0,95
57411.0,91
54195.0,107
54791.0,95
55000.0,67
54839.0,88
57160.0,29
55451.0,117
54815.0,74
55733.0,96
55996.0,68
55481.0,116
55682.0,107
56715.0,107
60554.0,140
58301.0,96
59901.0,110
59902.0,110
61123.0,105
58084.0,107
58251.0,109
58918.0,73
59237.0,141
59400.0,91
58211.0,16
59687.0,115
59740.0,95
59747.0,95
59957.0,115
60660.0,88
60613.0,73
61323.0,75
64012.0,72
64013.0,74
61624.0,95
61932.0,67
61948.0,74
61472.0,74
62155.0,90
62121.0,96
62153.0,80
62192.0,143
61855.0,23
62895.0,107
64676.0,74
62704.0,88
63033.0,149
62650.0,117
62703.0,88
63244.0,76
63287.0,70
63993.0,115
64251.0,84
64228.0,95
64248.0,116
68221.0,88
65121.0,4
65470.0,143
65770.0,95
65316.0,51
66233.0,95
66436.0,116
66720.0,96
66648.0,89
67342.0,87
67714.0,76
71788.0,68
68512.0,33
71667.0,32
68805.0,115
68825.0,72
69219.0,68
69251.0,68
69658.0,87
69709.0,90
70551.0,91
69938.0,115
72092.0,91
72239.0,88
72659.0,72
73598.0,76
73827.0,68
73611.0,76
73482.0,68
74632.0,67
74624.0,67
74563.0,76
75257.0,74
78741.0,87
77209.0,74
75985.0,72
77687.0,68
77589.0,70
78111.0,107
78414.0,74
82423.0,87
79582.0,145
79827.0,91
81772.0,87
82857.0,96
-1,-1
875.0,118
19244.0,73
21257.0,73
22570.0,76
22397.0,80
22759.0,89
24392.0,70
28473.0,76
28190.0,91
28205.0,91
28251.0,91
26118.0,68
26286.0,108
