stoptime,end station id
3194.0,91
3294.0,95
7152.0,118
20079.0,74
24894.0,87
22322.0,68
22237.0,67
22465.0,74
22380.0,80
24171.0,70
26149.0,116
26058.0,91
28365.0,42
25821.0,118
26040.0,141
26936.0,141
26607.0,141
26914.0,108
26985.0,108
26868.0,107
27230.0,80
26445.0,21
27390.0,76
27012.0,117
26996.0,91
27739.0,140
26988.0,91
27821.0,76
27542.0,97
27793.0,89
27854.0,80
27747.0,76
28269.0,67
27873.0,105
28060.0,104
27731.0,110
28026.0,96
28514.0,70
28302.0,70
28519.0,84
31301.0,14
31350.0,67
31616.0,72
32079.0,91
28860.0,73
32285.0,68
32238.0,21
28918.0,107
29213.0,91
29190.0,67
32302.0,67
29035.0,143
29113.0,81
29809.0,80
29639.0,68
29965.0,84
30077.0,72
30085.0,91
30155.0,74
30193.0,143
30202.0,90
30351.0,141
30307.0,76
30480.0,84
30324.0,88
30096.0,115
30675.0,76
30845.0,80
31150.0,70
31115.0,108
31322.0,68
31095.0,107
30813.0,142
31777.0,90
31540.0,67
31034.0,68
31409.0,107
31723.0,70
31642.0,84
31824.0,89
32119.0,73
35318.0,117
35692.0,107
35683.0,76
35807.0,117
35628.0,143
35915.0,141
35817.0,91
32563.0,72
32735.0,84
32414.0,143
35821.0,67
32877.0,91
32945.0,91
33026.0,84
33009.0,140
33014.0,117
32973.0,116
33015.0,90
33320.0,67
33286.0,84
33779.0,97
33840.0,80
34087.0,67
33640.0,141
33268.0,108
33967.0,74
34298.0,107
34235.0,46
34095.0,143
34278.0,107
34621.0,107
32531.0,46
33966.0,110
35259.0,67
35376.0,142
35327.0,84
35301.0,91
35477.0,67
34748.0,115
35720.0,143
39380.0,70
39578.0,80
38079.0,142
36574.0,91
36821.0,143
36881.0,87
36354.0,109
36946.0,85
38908.0,72
39460.0,141
43114.0,80
42278.0,67
39825.0,68
40542.0,110
41051.0,107
40788.0,116
41515.0,68
42439.0,67
42110.0,46
46638.0,67
43653.0,68
44307.0,84
43916.0,74
43916.0,74
44603.0,80
44121.0,67
44975.0,91
45222.0,91
45201.0,105
45322.0,68
45311.0,68
44956.0,88
45148.0,108
45623.0,107
46175.0,91
46265.0,116
49008.0,72
47153.0,87
48387.0,68
48142.0,143
47760.0,76
48385.0,96
48349.0,96
48495.0,68
48640.0,97
49648.0,80
50672.0,74
50641.0,75
51456.0,84
51693.0,67
51957.0,96
52033.0,29
52136.0,76
52398.0,107
51850.0,84
52417.0,76
52626.0,108
52777.0,107
52599.0,107
52843.0,75
52927.0,73
52979.0,116
52383.0,105
57289.0,107
57172.0,107
57121.0,84
57345.0,76
54065.0,84
57337.0,105
54317.0,68
54461.0,88
55054.0,95
55097.0,67
55881.0,75
56549.0,105
56794.0,68
61061.0,76
60867.0,95
61135.0,80
61180.0,75
57953.0,75
57797.0,88
58258.0,67
58016.0,68
58131.0,88
58114.0,67
58578.0,107
58261.0,98
59270.0,115
59247.0,95
58229.0,105
58218.0,105
59261.0,105
59425.0,105
59625.0,115
59633.0,115
59209.0,67
59593.0,90
59843.0,107
59861.0,89
59827.0,115
59534.0,109
60145.0,141
59656.0,88
59473.0,75
60394.0,107
60526.0,115
60038.0,96
60228.0,96
60327.0,73
60470.0,149
64515.0,117
64137.0,88
64444.0,95
61735.0,75
61703.0,107
61201.0,116
61713.0,104
61823.0,73
61278.0,145
61681.0,90
61229.0,74
61969.0,80
61903.0,95
61901.0,95
61922.0,110
62627.0,84
62364.0,95
62645.0,88
62700.0,68
62728.0,90
62806.0,104
62488.0,115
62536.0,95
62918.0,143
63284.0,75
62879.0,96
63491.0,107
63281.0,88
63435.0,76
63796.0,88
64145.0,75
63320.0,108
64046.0,95
64317.0,67
64505.0,110
64261.0,107
64312.0,87
68234.0,88
67849.0,105
64924.0,68
65179.0,143
65420.0,116
65336.0,96
65462.0,96
64997.0,32
