stoptime,end station id
5746.0,118
26706.0,117
35764.0,107
35812.0,21
32591.0,107
38850.0,141
37537.0,143
42898.0,116
40459.0,108
40540.0,88
40553.0,88
41011.0,115
42032.0,104
42141.0,68
42524.0,89
45023.0,105
45304.0,74
45703.0,110
46220.0,96
46296.0,87
47370.0,74
47541.0,105
47907.0,105
48194.0,96
48294.0,68
48627.0,116
48809.0,80
48869.0,87
48773.0,107
48752.0,84
49504.0,105
49931.0,75
53499.0,108
50489.0,74
51907.0,74
52145.0,96
52594.0,74
52744.0,67
52753.0,107
52859.0,96
52791.0,67
57480.0,117
54520.0,76
54355.0,74
54221.0,84
54873.0,68
55578.0,142
55827.0,110
55728.0,67
55732.0,67
55740.0,76
55877.0,140
57078.0,68
56942.0,70
57235.0,107
55921.0,142
60587.0,74
60978.0,105
57678.0,118
57916.0,88
58244.0,74
58330.0,142
59302.0,116
58696.0,88
58975.0,87
59249.0,115
59505.0,76
59366.0,76
59039.0,109
59074.0,109
59732.0,80
60018.0,107
59893.0,110
60291.0,88
64388.0,75
61383.0,95
62322.0,91
62181.0,104
62372.0,75
62548.0,75
62318.0,108
62977.0,68
65014.0,73
68094.0,105
67616.0,116
65492.0,68
66501.0,88
67337.0,89
67777.0,68
71705.0,67
71341.0,89
71958.0,91
68645.0,67
71538.0,149
69471.0,91
69088.0,74
69850.0,110
70159.0,75
70202.0,105
71537.0,68
75073.0,70
72531.0,67
73502.0,89
73774.0,91
74241.0,73
78997.0,74
77018.0,84
77294.0,116
83063.0,91
84347.0,115
83993.0,118
84632.0,104
-1,-1
3480.0,88
795.0,88
1012.0,96
4277.0,91
6852.0,87
23540.0,80
25260.0,80
29987.0,108
31726.0,67
30948.0,91
31617.0,74
31748.0,108
35541.0,70
34290.0,95
34317.0,95
33359.0,36
35074.0,84
39553.0,104
36021.0,73
36670.0,108
37342.0,72
38394.0,72
38620.0,80
38559.0,74
42858.0,68
42986.0,68
43121.0,97
40026.0,91
39844.0,67
40797.0,70
40619.0,68
40818.0,76
40831.0,76
41620.0,67
41959.0,73
42283.0,107
42738.0,74
42118.0,68
42843.0,115
46562.0,107
43604.0,73
43632.0,96
44416.0,95
43992.0,76
44189.0,80
46756.0,145
44920.0,107
45243.0,76
46025.0,80
45299.0,95
46263.0,116
