stoptime,end station id
1304.0,96
1623.0,95
1891.0,68
6826.0,96
4026.0,88
5307.0,76
5694.0,118
9155.0,95
16918.0,76
28815.0,75
30132.0,67
30545.0,36
35896.0,23
33326.0,80
33981.0,80
36137.0,46
37675.0,80
38011.0,115
38593.0,141
38890.0,104
42816.0,88
43124.0,6
42823.0,73
41221.0,110
41873.0,115
42220.0,68
42590.0,87
42660.0,91
42702.0,91
44079.0,80
44230.0,80
44499.0,68
44850.0,68
45076.0,95
45655.0,75
45375.0,117
45346.0,117
46010.0,80
45393.0,74
45935.0,107
47267.0,80
47027.0,116
47529.0,70
47555.0,70
47569.0,143
48521.0,116
48182.0,97
48239.0,97
52866.0,143
53835.0,96
51259.0,115
50785.0,72
51524.0,84
51628.0,97
51876.0,107
52173.0,68
51796.0,105
51809.0,105
52382.0,51
53282.0,68
53267.0,104
56816.0,68
56813.0,68
57517.0,88
57471.0,88
57508.0,88
57530.0,88
57534.0,87
57443.0,74
54219.0,89
56476.0,84
56167.0,97
54900.0,91
54509.0,75
54441.0,74
54924.0,143
54997.0,143
55392.0,110
55360.0,110
56419.0,76
55983.0,142
56854.0,104
60090.0,76
57903.0,91
57988.0,68
58044.0,72
58772.0,85
58502.0,72
59097.0,80
59654.0,74
58702.0,38
58704.0,38
59529.0,87
59161.0,68
59395.0,90
60801.0,143
64222.0,95
61409.0,108
62031.0,88
62009.0,88
62887.0,107
62891.0,107
62973.0,88
63125.0,68
63732.0,96
64837.0,74
68098.0,88
65141.0,88
65507.0,89
66757.0,115
67206.0,67
67200.0,67
67408.0,115
71573.0,115
69255.0,107
68815.0,97
71084.0,110
72612.0,117
72628.0,117
73778.0,76
74063.0,75
74521.0,145
79138.0,67
75961.0,149
77166.0,91
78510.0,115
81451.0,95
-1,-1
842.0,118
19295.0,73
23387.0,89
24398.0,70
25936.0,68
26733.0,108
27408.0,68
27307.0,72
27848.0,84
28118.0,104
28337.0,91
32192.0,73
32131.0,73
32296.0,96
28971.0,107
29048.0,76
29585.0,107
29760.0,91
29681.0,107
29939.0,84
29807.0,95
29991.0,140
30055.0,70
30297.0,76
30411.0,73
30805.0,74
30798.0,73
30541.0,84
30382.0,91
30673.0,80
31017.0,76
31005.0,76
31188.0,90
31356.0,80
31260.0,68
31596.0,70
31429.0,67
31683.0,80
31128.0,68
31630.0,143
31819.0,108
32068.0,70
35472.0,73
35413.0,80
35204.0,70
32447.0,91
32721.0,104
32871.0,143
32821.0,67
33078.0,141
32900.0,73
32850.0,72
33123.0,90
33746.0,80
33994.0,107
34476.0,68
34648.0,76
34954.0,96
34930.0,91
34659.0,84
35218.0,96
35396.0,80
35506.0,68
35547.0,108
35349.0,67
35461.0,108
39446.0,110
39244.0,80
39596.0,91
36242.0,107
36015.0,107
36237.0,72
39353.0,84
37183.0,80
36955.0,105
37292.0,91
37461.0,80
38106.0,75
38695.0,89
38925.0,141
38930.0,74
39186.0,80
42831.0,75
40595.0,80
40815.0,75
41358.0,108
41459.0,68
41704.0,67
41712.0,80
42082.0,76
41599.0,36
42891.0,107
42722.0,104
46656.0,74
46605.0,74
43433.0,89
43765.0,90
43922.0,107
44050.0,107
44892.0,89
45240.0,107
45426.0,67
45804.0,88
45978.0,75
45977.0,91
50182.0,73
46848.0,91
47085.0,91
47058.0,75
46954.0,68
47827.0,108
48212.0,96
47353.0,75
47667.0,76
48797.0,91
48793.0,117
49497.0,84
53378.0,95
