stoptime,end station id
3198.0,108
678.0,115
810.0,95
3599.0,118
19165.0,73
23115.0,107
23086.0,67
23075.0,80
23848.0,76
23230.0,89
24404.0,70
25806.0,118
25600.0,140
26635.0,68
26352.0,141
27277.0,87
27218.0,70
27669.0,84
27240.0,72
27750.0,140
27892.0,75
27975.0,67
27718.0,74
27995.0,108
28327.0,76
28129.0,141
27408.0,67
28387.0,107
32090.0,108
32108.0,88
32030.0,91
31961.0,104
32335.0,89
32131.0,105
28896.0,89
29177.0,108
29219.0,76
29423.0,91
29309.0,68
29467.0,67
29615.0,70
29255.0,81
29745.0,73
29927.0,140
30264.0,80
30290.0,76
30201.0,88
30285.0,76
30732.0,76
30593.0,70
31010.0,76
30756.0,75
31105.0,75
30940.0,89
30953.0,95
31191.0,80
30846.0,96
31428.0,72
31610.0,108
31546.0,67
31234.0,67
31274.0,143
31750.0,70
31512.0,104
31792.0,91
31683.0,90
31827.0,84
31751.0,80
31976.0,110
31897.0,80
31278.0,46
35776.0,117
35865.0,91
35457.0,74
35725.0,107
35951.0,67
35973.0,104
32813.0,143
32622.0,91
32569.0,73
32781.0,89
32578.0,72
33102.0,80
35214.0,36
33353.0,80
32992.0,80
33291.0,91
33442.0,141
33623.0,80
33144.0,141
33936.0,73
33919.0,107
34019.0,72
34067.0,80
34024.0,91
34407.0,73
34370.0,107
34227.0,117
34435.0,91
34467.0,76
34283.0,107
34873.0,80
34966.0,68
35059.0,115
35354.0,80
35583.0,80
35211.0,84
35653.0,70
39465.0,72
39247.0,108
39596.0,105
36201.0,68
37193.0,107
37141.0,80
37250.0,75
37315.0,70
36422.0,95
37486.0,88
37627.0,140
36799.0,110
37888.0,80
37755.0,72
38247.0,75
39167.0,68
42992.0,88
42993.0,80
40108.0,91
40043.0,95
40300.0,67
41233.0,110
41128.0,68
41726.0,80
42572.0,105
42797.0,91
46741.0,91
43968.0,80
44379.0,84
44950.0,74
44660.0,95
45033.0,73
45110.0,141
45514.0,104
45588.0,108
45989.0,95
46386.0,84
46114.0,115
50306.0,104
47146.0,116
46953.0,104
47663.0,70
47947.0,90
47920.0,46
48279.0,87
48614.0,74
48750.0,108
48753.0,140
49091.0,76
49250.0,105
50473.0,110
50611.0,95
51552.0,76
53105.0,107
53206.0,75
53573.0,89
53848.0,107
57215.0,75
